species	compartment	IC_Xinitialized	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Pb	Nucleus	9.40301657589165	CDC25C	ENSG00000158402											
Wee1	Nucleus	26.5188928005445	WEE1 	ENSG00000166483											
Wee1p	Nucleus	16.7404151179918	WEE1 	ENSG00000166483											
Mbp27	Nucleus	0.0839006229670185	CCNB1, CDK1, CDKN1B	ENSG00000134057	ENSG00000170312	ENSG00000111276									
Chk1	Nucleus	0.149772043911736	CHEK1 	ENSG00000149554											
pRBc1	Nucleus	8918.82412392429	RB1, E2F1, E2F2, E2F3	ENSG00000139687	ENSG00000101412	ENSG00000007968	ENSG00000112242								
pRBc2	Nucleus	0.29912846894521	RB1, E2F1, E2F2, E2F3	ENSG00000139687	ENSG00000101412	ENSG00000007968	ENSG00000112242								
p21	Nucleus	20.8734093127763	CDKN1A 	ENSG00000124762											
Mdp21	Nucleus	0.482638981785424	CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1A	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000124762							
Mep21	Nucleus	0.229328255765476	CCNE1, CCNE2, CDK2, CDKN1A	ENSG00000105173	ENSG00000175305	ENSG00000123374	ENSG00000124762								
Map21	Nucleus	0.26227140494222	CCNA2, CDK2, CDKN1A	ENSG00000145386	ENSG00000123374	ENSG00000124762									
Mbp21	Nucleus	0.017139702321383	CCNB1, CDK1, CDKN1A	ENSG00000134057	ENSG00000170312	ENSG00000124762									
L	Extracellular	2.20965666948801E-17	TNFSF10	ENSG00000121858											
R	Cytoplasm	8.03111765135261	TNFRSF10A, TNFRSF10B	ENSG00000104689	ENSG00000120889										
L_R	Cytoplasm	2.23632055760918E-16	TNFSF10, TNFRSF10A, TNFRSF10B	ENSG00000121858	ENSG00000104689	ENSG00000120889									
Ractive	Cytoplasm	7.56256734900239E-20	TNFRSF10A, TNFRSF10B	ENSG00000104689	ENSG00000120889										
flip	Cytoplasm	0.52592035137162	CFLAR	ENSG00000003402											
Ractive_flip	Cytoplasm	1.05460085103714E-19	TNFRSF10A, TNFRSF10B, CFLAR	ENSG00000104689	ENSG00000120889	ENSG00000003402									
pC8	Cytoplasm	26.5263809037245	CASP8, CASP10	ENSG00000064012	ENSG00000003400										
Ractive_pC8	Cytoplasm	6.33700689408973E-21	TNFRSF10A, TNFRSF10B, CASP8, CASP10	ENSG00000104689	ENSG00000120889	ENSG00000064012	ENSG00000003400								
C8	Cytoplasm	0.000505186636395315	CASP8, CASP10	ENSG00000064012	ENSG00000003400										
Bar	Cytoplasm	0.841153961420811	BFAR	ENSG00000103429											
C8_Bar	Cytoplasm	0.00130637232232301	BFAR, CASP8, CASP10	ENSG00000103429	ENSG00000064012	ENSG00000003400									
pC3	Cytoplasm	79.9328682001965	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
C8_pC3	Cytoplasm	0.00637692986618313	CASP8, CASP10, CASP3, CASP7	ENSG00000064012	ENSG00000003400	ENSG00000164305	ENSG00000165806								
C3	Cytoplasm	0.000202565798720637	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
pC6	Cytoplasm	47.6766292215333	CASP6	ENSG00000138794											
C3_pC6	Cytoplasm	3.05076491146997E-08	CASP3, CASP7, CASP6	ENSG00000164305	ENSG00000165806	ENSG00000138794									
C6	Cytoplasm	0.00057332059483735	CASP6	ENSG00000138794											
C6_C8	Cytoplasm	1.44123192277598E-07	CASP6, CASP8, CASP10	ENSG00000138794	ENSG00000064012	ENSG00000003400									
XIAP	Cytoplasm	5.26968942366599	XIAP	ENSG00000101966											
C3_XIAP	Cytoplasm	6.68204061002052E-05	CASP3, CASP7, XIAP	ENSG00000164305	ENSG00000165806	ENSG00000101966									
PARP	Cytoplasm	639.615770457573	PARP1	ENSG00000143799											
C3_PARP	Cytoplasm	4.05634606883742E-06	CASP3, CASP7, PARP1	ENSG00000164305	ENSG00000165806	ENSG00000143799									
cPARP	Cytoplasm	1.61966578833585	PARP1	ENSG00000143799											
Bid	Cytoplasm	50.4754120058703	BID	ENSG00000015475											
C8_Bid	Cytoplasm	7.31129394974578E-05	CASP8, CASP10, BID	ENSG00000064012	ENSG00000003400	ENSG00000015475									
tBid	Cytoplasm	1.59867369659647E-06	BID	ENSG00000015475											
Bcl2c	Cytoplasm	12.4806229030721	BCL2, BCL2L1, MCL1	ENSG00000171791	ENSG00000171552	ENSG00000143384									
tBid_Bcl2c	Cytoplasm	5.62328167822174E-05	BID, BCL2, BCL2L1, MCL1	ENSG00000015475	ENSG00000171791	ENSG00000171552	ENSG00000143384								
Bax	Cytoplasm	88.2268587823175	BAX	ENSG00000087088											
tBid_Bax	Cytoplasm	4.45551085911494E-08	BID, BAX	ENSG00000015475	ENSG00000087088										
Baxactive	Cytoplasm	0.00014418074242052	BAX	ENSG00000087088											
Baxm	Mitochondrion	0.00192677437292891	BAX	ENSG00000087088											
Bcl2	Mitochondrion	1.78076174882236	BCL2, BCL2L1, MCL1	ENSG00000171791	ENSG00000171552	ENSG00000143384									
Baxm_Bcl2	Mitochondrion	0.0096700880240835	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
Bax2	Mitochondrion	0.000117383485561269	BAX	ENSG00000087088											
Bax2_Bcl2	Mitochondrion	0.000589123798769308	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
Bax4	Mitochondrion	4.35671829182851E-07	BAX	ENSG00000087088											
Bax4_Bcl2	Mitochondrion	2.1865481485555E-06	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
M	Mitochondrion	2259.96909114816		GO:0005739											
Bax4_M	Mitochondrion	3.11028415331307E-06	BAX	ENSG00000087088											
Mactive	Mitochondrion	0.000311028415331483		GO:0005739											
CytoCm	Mitochondrion	15542.5896874807	CYC1	ENSG00000179091											
Mactive_CytoCm	Mitochondrion	0.0277928399755385	CYC1	GO:0005739	ENSG00000179091										
CytoCr	Mitochondrion	0.277855002831381	CYC1	ENSG00000179091											
Smacm	Mitochondrion	1450.93992959651	DIABLO	ENSG00000184047											
Mactive_Smacm	Mitochondrion	0.00259453167639603	DIABLO	ENSG00000184047											
Smacr	Mitochondrion	0.0208393185811736	DIABLO	ENSG00000184047											
CytoC	Cytoplasm	0.0194472805736814	CYC1	ENSG00000179091											
Apaf	Cytoplasm	0.0968904207774916	APAF1	ENSG00000120868											
CytoC_Apaf	Cytoplasm	0.0000029760830656	CYC1, APAF1	ENSG00000179091	ENSG00000120868										
Apafactive	Cytoplasm	0.0109933872378489	APAF1	ENSG00000120868											
pC9	Cytoplasm	3.45742376090004	PCSK9	ENSG00000169174											
Apop	Cytoplasm	0.00309987357571273	PCSK9, APAF1	ENSG00000169174	ENSG00000120868										
Apop_C3	Cytoplasm	0.00354186940945278	PCSK9, APAF1, CASP3, CASP7	ENSG00000169174	ENSG00000120868	ENSG00000164305	ENSG00000165806								
Smac	Cytoplasm	0.00110163875288732	DIABLO	ENSG00000184047											
Apop_XIAP	Cytoplasm	0.100438130459351	PCSK9, APAF1, XIAP	ENSG00000169174	ENSG00000120868	ENSG00000101966									
Smac_XIAP	Cytoplasm	0.124928575891072	DIABLO, XIAP	ENSG00000184047	ENSG00000101966										
C3_Ub	Cytoplasm	2.87030468782465	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
BAD	Cytoplasm	0.0950795999502254	BAD	ENSG00000002330											
PUMA	Cytoplasm	0.0290990678091783	BBC3	ENSG00000105327											
NOXA	Cytoplasm	0.00555713990574012	PMAIP1	ENSG00000141682											
Bcl2c_BAD	Cytoplasm	3.34439337752912	BCL2, BCL2L1, MCL1, BAD	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000002330								
Bcl2c_PUMA	Cytoplasm	1.0235500541045	BCL2, BCL2L1, MCL1, PUMA	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000105327								
Bcl2c_NOXA	Cytoplasm	0.194362217575223	BCL2, BCL2L1, MCL1, NOXA	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000141682								
BIM	Cytoplasm	0.0603853465053331	BCL2L11	ENSG00000153094											
BIM_Bax	Cytoplasm	8.41419874719719E-08	BCL2L11, BAX	ENSG00000153094	ENSG00000087088										
Bcl2c_BIM	Cytoplasm	2.12403452536571	BCL2, BCL2L1, MCL1, BCL2L11	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000153094								
ppERK_BIM	Cytoplasm	0.000597003235551105	MAPK1, MAPK3, BCL2L11	ENSG00000100030	ENSG00000102882	ENSG00000153094									
pBIM	Cytoplasm	0.105817811457241	BCL2L11	ENSG00000153094											
ppAKT_BAD	Cytoplasm	3.36485524904658E-05	AKT1, AKT2, BAD	ENSG00000142208	ENSG00000105221	ENSG00000002330									
pBAD	Cytoplasm	0.891280886440911	BAD	ENSG00000002330											
ppERK_BAD	Cytoplasm	0.000940056929704221	MAPK1, MAPK3, BAD	ENSG00000100030	ENSG00000102882	ENSG00000002330									
E	Extracellular	8.40090671088747E-17	EGF	ENSG00000138798											
H	Extracellular	9.32566682484478E-15	NRG1	ENSG00000157168											
HGF	Extracellular	2.29638637878116E-15	HGF	ENSG00000019991											
P	Extracellular	2.8594665080557E-19	PDGFB	ENSG00000100311											
F	Extracellular	4.13064779753022E-16	FGF1, FGF2	ENSG00000113578	ENSG00000138685										
I	Extracellular	1.25569529684385E-18	IGF1, IGF2	ENSG00000017427	ENSG00000167244										
INS	Extracellular	8.95271810634778E-15	INS	ENSG00000254647											
E1	Cytoplasm	50.1219597047261	EGFR	ENSG00000146648											
pE1	Cytoplasm	4.95480694261447	EGFR	ENSG00000146648											
E2	Cytoplasm	3.80508016734051	ERBB2	ENSG00000141736											
pE2	Cytoplasm	0.376170746191816	ERBB2	ENSG00000141736											
E3	Cytoplasm	1.73975070690282	ERBB3	ENSG00000065361											
E4	Cytoplasm	7.2664696362885E-28	ERBB4	ENSG00000178568											
pE4	Cytoplasm	7.18449165122054E-29	ERBB4	ENSG00000178568											
Ev3	Cytoplasm	4.65200099999369E-11													
Met	Cytoplasm	8.57322322341089	MET	ENSG00000105976											
Pr	Cytoplasm	0.229676008073667	PDGFRA, PDGFRB	ENSG00000134853	ENSG00000113721										
Fr	Cytoplasm	0.186712963464081	FGFR1, FGFR2	ENSG00000077782	ENSG00000066468										
Ir	Cytoplasm	0.0218147898898407	IGF1R	ENSG00000140443											
Isr	Cytoplasm	0.0297962139458235	INSR	ENSG00000171105											
E1E1	Cytoplasm	2.51217278831442	EGFR	ENSG00000146648											
E1E2	Cytoplasm	0.190715185720209	EGFR, ERBB2	ENSG00000146648	ENSG00000141736										
E1E3	Cytoplasm	0.0871983938792388	EGFR, ERBB3	ENSG00000146648	ENSG00000065361										
E1E4	Cytoplasm	3.64204448234862E-29	EGFR, ERBB4	ENSG00000146648	ENSG00000178568										
E2E2	Cytoplasm	0.0144784845560608	ERBB2	ENSG00000141736											
E2E3	Cytoplasm	0.00661980928532797	ERBB2, ERBB3	ENSG00000141736	ENSG00000065361										
E2E4	Cytoplasm	2.76492323310401E-30	ERBB2, ERBB4	ENSG00000141736	ENSG00000178568										
E3E4	Cytoplasm	1.2641699081712E-30	ERBB3	ENSG00000065361	ENSG00000178568										
E4E4	Cytoplasm	5.28016585908045E-58	ERBB4	ENSG00000178568											
Met_Met	Cytoplasm	0.0734996752520081	MET	ENSG00000105976											
FrFr	Cytoplasm	3.48615024948472E-05	FGF1, FGF2	ENSG00000113578	ENSG00000138685										
IrIr	Cytoplasm	0.72689908606699	IGF1R	ENSG00000140443											
Isr_Isr	Cytoplasm	0.30893985566057	INSR	ENSG00000171105											
EE1	Cytoplasm	1.57010780333875E-17	EGF, EGFR	ENSG00000138798	ENSG00000146648										
HE3	Cytoplasm	1.55877859276461E-16	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
HE4	Cytoplasm	6.50174512874154E-44	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
HGF_Met	Cytoplasm	7.11240069016182E-14	HGF, MET	ENSG00000019991	ENSG00000105976										
PPr	Cytoplasm	6.55908924311342E-20	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
FFr	Cytoplasm	3.01367037703428E-16	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
EE1E2	Cytoplasm	1.71509063676554E-16	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
EE1Ev3	Cytoplasm	6.31476147216228E-28	EGF, EGFR	ENSG00000138798	ENSG00000146648										
EE1E1	Cytoplasm	4.29624542680142E-16	EGF, EGFR	ENSG00000138798	ENSG00000146648										
EE1E3	Cytoplasm	7.77715128580443E-17	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
EE1E4	Cytoplasm	9.31968416052577E-45	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
E2HE3	Cytoplasm	5.37724836600068E-16	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
E1HE3	Cytoplasm	6.26198711467834E-15	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
HE3E3	Cytoplasm	2.70854641373753E-16	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
HE3Ev3	Cytoplasm	7.1535523424161E-27	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
HE3E4	Cytoplasm	1.11708650850732E-43	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
E2HE4	Cytoplasm	2.25027311493302E-43	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
HE4Ev3	Cytoplasm	3.00248113488697E-54	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
E1HE4	Cytoplasm	2.61947679739139E-42	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
E3HE4	Cytoplasm	1.03658962439633E-43	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
HE4E4	Cytoplasm	4.3556393352249E-71	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
HGF_Met_Met	Cytoplasm	5.22751210394979E-13	HGF, MET	ENSG00000019991	ENSG00000105976										
PPrPr	Cytoplasm	3.20983093460882E-38	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
FFrFr	Cytoplasm	4.93567098530414E-16	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
IIrIr	Cytoplasm	5.14490470005164E-19	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
INS_Isr_Isr	Cytoplasm	6.86582185456578E-17	INS, INSR	ENSG00000254647	ENSG00000171105										
EE1EE1	Cytoplasm	1.00672500446132E-33	EGF, EGFR	ENSG00000138798	ENSG00000146648										
EE1HE3	Cytoplasm	4.0365379564675E-32	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
EE1HE4	Cytoplasm	1.00468068562762E-59	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
HE3HE3	Cytoplasm	9.22580548582049E-32	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
HE3HE4	Cytoplasm	7.00007311514394E-59	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
HE4HE4	Cytoplasm	1.49125998290494E-86	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
HGF_Met_HGF_Met	Cytoplasm	8.31843488100837E-27	HGF, MET	ENSG00000019991	ENSG00000105976										
PPrPPr	Cytoplasm	2.15060943566495E-41	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
FFrFFr	Cytoplasm	2.17442887411287E-31	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
IIrIrI	Cytoplasm	6.08446402276718E-38	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
INS_Isr_Isr_INS	Cytoplasm	3.16182137656775E-34	INS, INSR	ENSG00000254647	ENSG00000171105										
E1_ppERK	Cytoplasm	0.495555753492215	EGFR, MAPK1, MAPK3	ENSG00000146648	ENSG00000100030	ENSG00000102882									
E2_ppERK	Cytoplasm	0.0376209854332038	ERBB2, MAPK1, MAPK3	ENSG00000141736	ENSG00000100030	ENSG00000102882									
E4_ppERK	Cytoplasm	7.18443894614436E-30	ERBB4, MAPK1, MAPK3	ENSG00000178568	ENSG00000100030	ENSG00000102882									
pEE1E2	Cytoplasm	1.70719990279562E-16	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
pEE1Ev3	Cytoplasm	6.2857724767613E-28	EGF, EGFR	ENSG00000138798	ENSG00000146648										
pEE1E1	Cytoplasm	4.24295017225574E-16	EGF, EGFR	ENSG00000138798	ENSG00000146648										
pEE1EE1	Cytoplasm	9.9423651247657E-34	EGF, EGFR	ENSG00000138798	ENSG00000146648										
pEE1E3	Cytoplasm	7.7411397436061E-17	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
pEE1HE3	Cytoplasm	4.01784705852506E-32	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
pEE1E4	Cytoplasm	9.27682915293186E-45	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
pEE1HE4	Cytoplasm	1.00006082995064E-59	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
pE2HE3	Cytoplasm	5.37363620032117E-16	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
pHE3Ev3	Cytoplasm	7.14880624157115E-27	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
pE1HE3	Cytoplasm	6.23299129661503E-15	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
pHE3E4	Cytoplasm	1.11634088311459E-43	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
pHE3HE4	Cytoplasm	6.9954007575009E-59	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
pE2HE4	Cytoplasm	2.24883638592204E-43	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
pHE4Ev3	Cytoplasm	3.0006378237575E-54	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
pE1HE4	Cytoplasm	2.60743154058705E-42	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
pE3HE4	Cytoplasm	1.03589772852264E-43	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
pHE4E4	Cytoplasm	4.35296338356803E-71	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
pHE4HE4	Cytoplasm	1.49034380573765E-86	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
pHGF_Met_Met	Cytoplasm	5.22422286254177E-13	HGF, MET	ENSG00000019991	ENSG00000105976										
pHGF_Met_HGF_Met	Cytoplasm	8.31320083934701E-27	HGF, MET	ENSG00000019991	ENSG00000105976										
pPPrPPr	Cytoplasm	2.14885726512138E-41	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
pPPrPr	Cytoplasm	3.20721578230818E-38	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
pFFrFFr	Cytoplasm	2.17302235667948E-31	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
pFFrFr	Cytoplasm	4.93245035331595E-16	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
pIIrIr	Cytoplasm	5.14193355938277E-19	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
pINS_Isr_Isr	Cytoplasm	6.85971649867429E-17	INS, INSR	ENSG00000254647	ENSG00000171105										
pIIrIrI	Cytoplasm	6.08095029486925E-38	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
pINS_Isr_Isr_INS	Cytoplasm	3.15900976200774E-34	INS, INSR	ENSG00000254647	ENSG00000171105										
pIIrIr_IRS	Cytoplasm	3.74807179184487E-19	IGF1, IGF2, IGF1R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000169047	ENSG00000185950							
pINS_Isr_Isr_IRS	Cytoplasm	4.96004929890012E-17	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
pIIrIrI_IRS	Cytoplasm	4.43254240042809E-38	IGF1, IGF2, IGF1R, IGF2R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000197081	ENSG00000169047	ENSG00000185950						
pINS_Isr_Isr_INS_IRS	Cytoplasm	2.28418246795881E-34	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
Sp_EE1E2	Cytoplasm	2.8294849697035E-18	SPRY2, EGF, EGFR, ERBB2	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000141736								
Sp_EE1Ev3	Cytoplasm	1.04178299908639E-29	SPRY2, EGF, EGFR	ENSG00000136158	ENSG00000138798	ENSG00000146648									
