	pcFos_cJun	cMyc	p53ac	FOXOnuc	ppERKnuc	pRSKnuc	bCATENINnuc
FOS	-4.0; 0.8	0	0	0	4.0; 20.0	4.0; 5.0	0
JUN	3.0; 0.8	0	0	0	0	0	0
MYC	0	0	0	0	0	0	4.0; 250
CTNNB1	0	0	0	0	0	0	0
PTEN	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0
PDPK1	0	0	0	0	0	0	0
RICTOR	0	0	0	0	0	0	0
MTOR	0	0	0	0	0	0	0
GSK3B	0	0	0	0	0	0	0
TSC1	0	0	0	0	0	0	0
TSC2	0	0	0	0	0	0	0
PRKCA	0	0	0	0	0	0	0
PRKCB	0	0	0	0	0	0	0
PRKCG	0	0	0	0	0	0	0
PRKCD	0	0	0	0	0	0	0
PEBP1	0	0	0	0	0	0	0
MAPK1	0	0	0	0	0	0	0
MAPK3	0	0	0	0	0	0	0
FOXO3	0	0	0	0	0	0	0
RHEB	0	0	0	0	0	0	0
RPTOR	0	0	0	0	0	0	0
RPS6KB1	0	0	0	0	0	0	0
RPS6KB2	0	0	0	0	0	0	0
EIF4EBP1	0	0	0	0	0	0	0
SOS1	0	0	0	0	0	0	0
CDKN2A	0	0	0	0	0	0	0
MDM4	0	0	0	0	0	0	0
FGFR1	0	0	0	4.0; 60.0	0	0	0
FGFR2	0	0	0	4.0; 60.0	0	0	0
FGF1	0	0	0	0	0	0	0
FGF2	0	0	0	0	0	0	0
EIF4E	0	0	0	0	0	0	0
IRS1	0	0	0	0	0	0	0
IRS2	0	0	0	0	0	0	0
IGF1	0	0	0	0	0	0	0
IGF2	0	0	0	0	0	0	0
IGF1R	0	0	0	4.0; 60.0	0	0	0
MSH6	0	0	0	0	0	0	0
BRCA2	0	0	0	0	0	0	0
MGMT	0	0	0	0	0	0	0
INSR	0	0	0	4.0; 60.0	0	0	0
INS	0	0	0	0	0	0	0
