Rxn_name	Comp_correction	Species	Ratelaw						
vTL41	Cytoplasm	  ; XIAP	kTL41_1*m_XIAP*(EIF4E/(kTL41_2+EIF4E))	0.1414059	100				
vTL42	Cytoplasm	  ; PARP	kTL42_1*m_PARP1*(EIF4E/(kTL42_2+EIF4E))	0.344433	100				
vTL43	Cytoplasm	  ; Bid	kTL43_1*m_BID*(EIF4E/(kTL43_2+EIF4E))	0.04293526	100				
vTL44	Cytoplasm	  ; Bcl2c	kTL44_1*m_BCL2*(EIF4E/(kTL44_2+EIF4E))	0.02891033	100				
vTL45	Cytoplasm	  ; Bcl2c	kTL45_1*m_BCL2L1*(EIF4E/(kTL45_2+EIF4E))	0.1031949	100				
vTL46	Cytoplasm	  ; Bcl2c	kTL46_1*m_MCL1*(EIF4E/(kTL46_2+EIF4E))	0.4901751	100				
vTL47	Cytoplasm	  ; Bax	kTL47_1*m_BAX*(EIF4E/(kTL47_2+EIF4E))	0.3275386	100				
vTL48	Cytoplasm	  ; CytoCm	kTL48_1*m_CYCS*(EIF4E/(kTL48_2+EIF4E))	0.07033183	100				
vTL49	Cytoplasm	  ; Smacm	kTL49_1*m_DIABLO*(EIF4E/(kTL49_2+EIF4E))	0.1085227	100				
vTL50	Cytoplasm	  ; Apaf	kTL50_1*m_APAF1*(EIF4E/(kTL50_2+EIF4E))	0.008024529	100				
vTL51	Cytoplasm	  ; pC9	kTL51_1*m_CASP9*(EIF4E/(kTL51_2+EIF4E))	0.02476986	100				
vTL52	Cytoplasm	  ; BAD	kTL52_1*m_BAD*(EIF4E/(kTL52_2+EIF4E))	0.1701828	100				
vTL53	Cytoplasm	  ; PUMA	kTL53_1*m_BBC3*(EIF4E/(kTL53_2+EIF4E))	0.5658597	100				
vTL54	Cytoplasm	  ; NOXA	kTL54_1*m_PMAIP1*(EIF4E/(kTL54_2+EIF4E))	0.02889506	100				
vTL55	Cytoplasm	  ; BIM	kTL55_1*m_BCL2L11*(EIF4E/(kTL55_2+EIF4E))	0.4967611	100				
vTL56	Cytoplasm	  ; E	kTL56_1*m_EGF*(EIF4E/(kTL56_2+EIF4E))	0.07122388	100				
vTL57	Cytoplasm	  ; H	kTL57_1*m_NRG1*(EIF4E/(kTL57_2+EIF4E))	0.07122388	100				
vTL58	Cytoplasm	  ; E1	kTL58_1*m_EGFR*(EIF4E/(kTL58_2+EIF4E))	0.5191829	100				
vTL59	Cytoplasm	  ; E2	kTL59_1*m_ERBB2*(EIF4E/(kTL59_2+EIF4E))	0.05307133	100				
vTL60	Cytoplasm	  ; E3	kTL60_1*m_ERBB3*(EIF4E/(kTL60_2+EIF4E))	0.006055101	100				
vTL61	Cytoplasm	  ; E4	kTL61_1*m_ERBB4*(EIF4E/(kTL61_2+EIF4E))	0.01763978	100				
vTL62	Cytoplasm	  ; Ev3	kTL62_1*m_EGFRvIII*(EIF4E/(kTL62_2+EIF4E))	0.03319824	100				
vTL63	Cytoplasm	  ; Met	kTL63_1*m_MET*(EIF4E/(kTL63_2+EIF4E))	0.01428499	100				
vTL64	Cytoplasm	  ; HGF	kTL64_1*m_HGF*(EIF4E/(kTL64_2+EIF4E))	0.07122388	100				
vTL65	Cytoplasm	  ; Pr	kTL65_1*m_PDGFRA*(EIF4E/(kTL65_2+EIF4E))	0.03319589	100				
vTL66	Cytoplasm	  ; Pr	kTL66_1*m_PDGFRB*(EIF4E/(kTL66_2+EIF4E))	0.03319589	100				
vTL67	Cytoplasm	  ; P	kTL67_1*m_PDGFB*(EIF4E/(kTL67_2+EIF4E))	0.07122388	100				
vTL68	Cytoplasm	  ; Sp	kTL68_1*m_SPRY2*(EIF4E/(kTL68_2+EIF4E))	0.003920992	100				
vTL69	Cytoplasm	  ; Cbl	kTL69_1*m_CBL*(EIF4E/(kTL69_2+EIF4E))	0.05176996	100				
vTL70	Cytoplasm	  ; G2	kTL70_1*m_GRB2*(EIF4E/(kTL70_2+EIF4E))	0.6184815	100				
vTL71	Cytoplasm	  ; PLCg	kTL71_1*m_PLCG1*(EIF4E/(kTL71_2+EIF4E))	0.03020566	100				
vTL72	Cytoplasm	  ; PLCg	kTL72_1*m_PLCG2*(EIF4E/(kTL72_2+EIF4E))	0.03179077	100				
vTL73	Cytoplasm	  ; PI3KC1	kTL73_1*m_PIK3CA*(EIF4E/(kTL73_2+EIF4E))	0.01463618	100				
vTL74	Cytoplasm	  ; PI3KC1	kTL74_1*m_PIK3CB*(EIF4E/(kTL74_2+EIF4E))	0.01108511	100				
vTL75	Cytoplasm	  ; PI3KC1	kTL75_1*m_PIK3CG*(EIF4E/(kTL75_2+EIF4E))	0.002549623	100				
vTL76	Cytoplasm	  ; PI3KC1	kTL76_1*m_PIK3CD*(EIF4E/(kTL76_2+EIF4E))	0.002549623	100				
vTL77	Cytoplasm	  ; PI3KR1	kTL77_1*m_PIK3R1*(EIF4E/(kTL77_2+EIF4E))	0.0974545	100				
vTL78	Cytoplasm	  ; PI3KR1	kTL78_1*m_PIK3R2*(EIF4E/(kTL78_2+EIF4E))	0.00544119	100				
vTL79	Cytoplasm	  ; PI3KR1	kTL79_1*m_PIK3R3*(EIF4E/(kTL79_2+EIF4E))	4.92E-05	100				
vTL80	Cytoplasm	  ; PI3KR1	kTL80_1*m_PIK3R4*(EIF4E/(kTL80_2+EIF4E))	0.02728923	100				
vTL81	Cytoplasm	  ; PI3K2	kTL81_1*m_PIK3C2A*(EIF4E/(kTL81_2+EIF4E))	0.01395976	100				
vTL82	Cytoplasm	  ; GRP	kTL82_1*m_RASGRP1*(EIF4E/(kTL82_2+EIF4E))	0.2953445	100				
vTL83	Cytoplasm	  ; GRP	kTL83_1*m_RASGRP3*(EIF4E/(kTL83_2+EIF4E))	0.2953445	100				
vTL84	Cytoplasm	  ; RasD	kTL84_1*m_NRAS*(EIF4E/(kTL84_2+EIF4E))	0.03608434	100				
vTL85	Cytoplasm	  ; RasD	kTL85_1*m_KRAS*(EIF4E/(kTL85_2+EIF4E))	0.2077922	100				
vTL86	Cytoplasm	  ; RasD	kTL86_1*m_HRAS*(EIF4E/(kTL86_2+EIF4E))	1.012784	100				
vTL87	Cytoplasm	  ; NF1	kTL87_1*m_NF1*(EIF4E/(kTL87_2+EIF4E))	0.002217992	100				
vTL88	Cytoplasm	  ; CRaf	kTL88_1*m_RAF1*(EIF4E/(kTL88_2+EIF4E))	0.06589921	100				
vTL89	Cytoplasm	  ; BRaf	kTL89_1*m_BRAF*(EIF4E/(kTL89_2+EIF4E))	0.03871855	100				
vTL90	Cytoplasm	  ; MEK	kTL90_1*m_MAP2K1*(EIF4E/(kTL90_2+EIF4E))	0.2384683	100				
vTL91	Cytoplasm	  ; MEK	kTL91_1*m_MAP2K2*(EIF4E/(kTL91_2+EIF4E))	0.407612	100				
vTL92	Cytoplasm	  ; MKP3	kTL92_1*m_DUSP6*(EIF4E/(kTL92_2+EIF4E))	0.000811183	100				
vTL93	Cytoplasm	  ; RSK	kTL93_1*m_RPS6KA1*(EIF4E/(kTL93_2+EIF4E))	0.1455156	100				
vTL94	Cytoplasm	  ; RSK	kTL94_1*m_RPS6KA2*(EIF4E/(kTL94_2+EIF4E))	0.007642617	100				
vTL95	Cytoplasm	  ; RSK	kTL95_1*m_RPS6KA3*(EIF4E/(kTL95_2+EIF4E))	0.02037869	100				
vTL96	Cytoplasm	  ; RSK	kTL96_1*m_RPS6KA4*(EIF4E/(kTL96_2+EIF4E))	0.1264408	100				
vTL97	Cytoplasm	  ; MKP1	kTL97_1*m_DUSP1*(EIF4E/(kTL97_2+EIF4E))	0.000684513	100				
vTL98	Cytoplasm	  ; cFos	kTL98_1*m_FOS*(EIF4E/(kTL98_2+EIF4E))	0.3941679	100				
vTL99	Cytoplasm	  ; cJun	kTL99_1*m_JUN*(EIF4E/(kTL99_2+EIF4E))	0.1648827	100				
vTL100	Cytoplasm	  ; cMyc	kTL100_1*m_MYC*(EIF4E/(kTL100_2+EIF4E))	39.40506	100				
vTL101	Cytoplasm	  ; bCATENIN	kTL101_1*m_CTNNB1*(EIF4E/(kTL101_2+EIF4E))	5.20533	100				
vTL102	Cytoplasm	  ; PTEN	kTL102_1*m_PTEN*(EIF4E/(kTL102_2+EIF4E))	0.000657728	100				
vTL103	Cytoplasm	  ; AKT	kTL103_1*m_AKT1*(EIF4E/(kTL103_2+EIF4E))	0.7378095	100				
vTL104	Cytoplasm	  ; AKT	kTL104_1*m_AKT2*(EIF4E/(kTL104_2+EIF4E))	0.180917	100				
vTL105	Cytoplasm	  ; PDK1	kTL105_1*m_PDPK1*(EIF4E/(kTL105_2+EIF4E))	0.122997	100				
vTL106	Cytoplasm	  ; Rictor	kTL106_1*m_RICTOR*(EIF4E/(kTL106_2+EIF4E))	0.01636325	100				
vTL107	Cytoplasm	  ; mTOR	kTL107_1*m_MTOR*(EIF4E/(kTL107_2+EIF4E))	0.4239369	100				
vTL108	Cytoplasm	  ; GSK3b	kTL108_1*m_GSK3B*(EIF4E/(kTL108_2+EIF4E))	0.3710793	100				
vTL109	Cytoplasm	  ; TSC1	kTL109_1*m_TSC1*(EIF4E/(kTL109_2+EIF4E))	0.001418598	100				
vTL110	Cytoplasm	  ; TSC2	kTL100_1*m_TSC2*(EIF4E/(kTL100_2+EIF4E))	0.01530346	100				
vTL111	Cytoplasm	  ; PKC	kTL111_1*m_PRKCA*(EIF4E/(kTL111_2+EIF4E))	0.007713443	100				
vTL112	Cytoplasm	  ; PKC	kTL112_1*m_PRKCB*(EIF4E/(kTL112_2+EIF4E))	0.006884487	100				
vTL113	Cytoplasm	  ; PKC	kTL113_1*m_PRKCG*(EIF4E/(kTL113_2+EIF4E))	0.006884487	100				
vTL114	Cytoplasm	  ; PKC	kTL114_1*m_PRKCD*(EIF4E/(kTL114_2+EIF4E))	0.08877329	100				
vTL115	Cytoplasm	  ; RKIP	kTL115_1*m_PEBP1*(EIF4E/(kTL115_2+EIF4E))	0.0749669	100				
vTL116	Cytoplasm	  ; ERK	kTL116_1*m_MAPK1*(EIF4E/(kTL116_2+EIF4E))	0.6472173	100				
vTL117	Cytoplasm	  ; ERK	kTL117_1*m_MAPK3*(EIF4E/(kTL117_2+EIF4E))	0.0877117	100				
vTL118	Cytoplasm	  ; FOXO	kTL118_1*m_FOXO3*(EIF4E/(kTL118_2+EIF4E))	0.03933951	100				
vTL119	Cytoplasm	  ; RhebD	kTL119_1*m_RHEB*(EIF4E/(kTL119_2+EIF4E))	0.1285295	100				
vTL120	Cytoplasm	  ; Raptor	kTL120_1*m_RPTOR*(EIF4E/(kTL120_2+EIF4E))	0.3704438	100				
vTL121	Cytoplasm	  ; S6K	kTL121_1*m_RPS6KB1*(EIF4E/(kTL121_2+EIF4E))	0.1502261	100				
vTL122	Cytoplasm	  ; S6K	kTL122_1*m_RPS6KB2*(EIF4E/(kTL122_2+EIF4E))	0.0557306	100				
vTL123	Cytoplasm	  ; EIF4EBP1	kTL123_1*m_EIF4EBP1*(EIF4E/(kTL123_2+EIF4E))	0.06125023	100				
vTL124	Cytoplasm	  ; SOS	kTL124_1*m_SOS1*(EIF4E/(kTL124_2+EIF4E))	0.009427201	100				
vTL125	Cytoplasm	  ; ARF	kTL125_1*m_CDKN2A*(EIF4E/(kTL125_2+EIF4E))	0.01236526	100				
vTL126	Cytoplasm	  ; MDM4	kTL126_1*m_MDM4*(EIF4E/(kTL126_2+EIF4E))	0.001518757	100				
vTL127	Cytoplasm	  ; Fr	kTL127_1*m_FGFR1*(EIF4E/(kTL127_2+EIF4E))	0.001835863	100				
vTL128	Cytoplasm	  ; Fr	kTL128_1*m_FGFR2*(EIF4E/(kTL128_2+EIF4E))	0.001835863	100				
vTL129	Cytoplasm	  ; F	kTL129_1*m_FGF1*(EIF4E/(kTL129_2+EIF4E))	0.07122388	100				
vTL130	Cytoplasm	  ; F	kTL130_1*m_FGF2*(EIF4E/(kTL130_2+EIF4E))	0.07122388	100				
vTL131	Cytoplasm	  ; EIF4E	kTL131_1*m_EIF4E*(EIF4E/(kTL131_2+EIF4E))	0.1190007	100				
vTL132	Cytoplasm	  ; IRS	kTL132_1*m_IRS1*(EIF4E/(kTL132_2+EIF4E))	0.005799864	100				
vTL133	Cytoplasm	  ; IRS	kTL133_1*m_IRS2*(EIF4E/(kTL133_2+EIF4E))	0.113843	100				
vTL134	Cytoplasm	  ; I	kTL134_1*m_IGF1*(EIF4E/(kTL134_2+EIF4E))	0.07122388	100				
vTL135	Cytoplasm	  ; I	kTL135_1*m_IGF2*(EIF4E/(kTL135_2+EIF4E))	0.07122388	100				
vTL136	Cytoplasm	  ; Ir	kTL136_1*m_IGF1R*(EIF4E/(kTL136_2+EIF4E))	0.01450361	100				
vTL137	Cytoplasm	  ; MSH6	kTL137_1*m_MSH6*(EIF4E/(kTL137_2+EIF4E))	0.07574784	100				
vTL138	Cytoplasm	  ; BRCA2	kTL138_1*m_BRCA2*(EIF4E/(kTL138_2+EIF4E))	0.04751087	100				
vTL139	Cytoplasm	  ; MGMT	kTL139_1*m_MGMT*(EIF4E/(kTL139_2+EIF4E))	0.2023389	100				
vTL140	Cytoplasm	  ; Isr	kTL140_1*m_INSR*(EIF4E/(kTL140_2+EIF4E))	0.01397178	100				
vTL141	Cytoplasm	  ; INS	kTL141_1*m_INS*(EIF4E/(kTL141_2+EIF4E))	0.07122388	100				
vTLCd1	Nucleus	 p53inac ; 	0						
vTLCd2	Nucleus	 MDM2 ; 	0						
vTLCd3	Nucleus	 Wip1 ; 	0						
vTLCd4	Nucleus	 BRCA2 ; 	7.70E-05						
vTLCd5	Nucleus	 MSH6 ; 	5.54E-06						
vTLCd6	Nucleus	 MGMT ; 	5.60E-06						
vTLCd7	Nucleus	 ARF ; 	0						
vTLCd8	Nucleus	 MDM4 ; 	0.00026019						
vTLCd9	Nucleus	 ATMinac ; 	6.03E-06						
vTLCd10	Nucleus	 ATRinac ; 	1.21E-05						
vTLCd11	Nucleus	 pRB ; 	0						
vTLCd12	Nucleus	 E2F ; 	0						
vTLCd13	Nucleus	 Cd ; 	0						
vTLCd14	Nucleus	 Ce ; 	0						
vTLCd15	Nucleus	 Skp2 ; 	0						
vTLCd16	Nucleus	 Pai ; 	0						
vTLCd17	Nucleus	 Pei ; 	0						
vTLCd18	Nucleus	 Pbi ; 	0						
vTLCd19	Nucleus	 Ca ; 	0						
vTLCd20	Nucleus	 p27 ; 	0						
vTLCd21	Nucleus	 Cdh1a ; 	0						
vTLCd22	Nucleus	 Cb ; 	0						
vTLCd23	Nucleus	 Cdc20i ; 	0						
vTLCd24	Nucleus	 Wee1 ; 	0						
vTLCd25	Nucleus	 Chk1 ; 	0						
vTLCd26	Nucleus	 p21 ; 	0						
vTLCd27	Cytoplasm	 L ; 	0						
vTLCd28	Cytoplasm	 R ; 	2.69E-06						
vTLCd29	Cytoplasm	 flip ; 	0.000192541						
vTLCd30	Cytoplasm	 pC8 ; 	2.34E-06						
vTLCd31	Cytoplasm	 Bar ; 	2.86E-05						
vTLCd32	Cytoplasm	 pC3 ; 	2.33E-06						
vTLCd33	Cytoplasm	 pC6 ; 	5.32E-07						
vTLCd34	Cytoplasm	 XIAP ; 	2.86E-05						
vTLCd35	Cytoplasm	 PARP ; 	2.50E-06						
vTLCd36	Cytoplasm	 Bid ; 	2.83E-06						
vTLCd37	Cytoplasm	 Bcl2c ; 	0.000121963						
vTLCd38	Cytoplasm	 Bax ; 	2.47E-06						
vTLCd39	Mitochondrion	 CytoCm ; 	1.32E-06						
vTLCd40	Mitochondrion	 Smacm ; 	2.10E-06						
vTLCd41	Cytoplasm	 Apaf ; 	6.06E-06						
vTLCd42	Cytoplasm	 pC9 ; 	2.34E-06						
vTLCd43	Cytoplasm	 BAD ; 	9.25E-06						
vTLCd44	Cytoplasm	 PUMA ; 	2.75E-05						
vTLCd45	Cytoplasm	 NOXA ; 	0.000128361						
vTLCd46	Cytoplasm	 BIM ; 	6.42E-05						
vTLCd47	Cytoplasm	 E ; 	0						
vTLCd48	Cytoplasm	 H ; 	0						
vTLCd49	Cytoplasm	 HGF ; 	0						
vTLCd50	Cytoplasm	 P ; 	0						
vTLCd51	Cytoplasm	 F ; 	0						
vTLCd52	Cytoplasm	 I ; 	0						
vTLCd53	Cytoplasm	 INS ; 	0						
vTLCd54	Cytoplasm	 E1 ; 	1.51E-05						
vTLCd55	Cytoplasm	 E2 ; 	1.04E-05						
vTLCd56	Cytoplasm	 E3 ; 	1.23E-05						
vTLCd57	Cytoplasm	 E4 ; 	0						
vTLCd58	Cytoplasm	 Ev3 ; 	0						
vTLCd59	Cytoplasm	 Met ; 	6.55E-06						
vTLCd60	Cytoplasm	 Pr ; 	6.42E-05						
vTLCd61	Cytoplasm	 Fr ; 	6.55E-06						
vTLCd62	Cytoplasm	 Ir ; 	6.55E-06						
vTLCd63	Cytoplasm	 Isr ; 	2.87E-05						
vTLCd64	Cytoplasm	 IRS ; 	5.82E-05						
vTLCd65	Cytoplasm	 Sp ; 	9.63E-05						
vTLCd66	Cytoplasm	 Cbl ; 	6.51E-06						
vTLCd67	Cytoplasm	 G2 ; 	1.12E-05						
vTLCd68	Cytoplasm	 PLCg ; 	6.22E-06						
vTLCd69	Cytoplasm	 PI3KC1 ; 	4.81E-06						
vTLCd70	Cytoplasm	 PI3KR1 ; 	4.39E-06						
vTLCd71	Cytoplasm	 PI3K2 ; 	8.99E-06						
vTLCd72	Cytoplasm	 GRP ; 	6.78E-06						
vTLCd73	Cytoplasm	 RasD ; 	6.86E-06						
vTLCd74	Cytoplasm	 NF1 ; 	2.49E-06						
vTLCd75	Cytoplasm	 CRaf ; 	9.62E-06						
vTLCd76	Cytoplasm	 BRaf ; 	9.62E-06						
vTLCd77	Cytoplasm	 MEK ; 	2.22E-06						
vTLCd78	Nucleus	 MKP3 ; 	0.000256721						
vTLCd79	Nucleus	 RSK ; 	3.23E-06						
vTLCd80	Nucleus	 MKP1 ; 	0.000256721						
vTLCd81	Nucleus	 cFos ; 	0.000256721						
vTLCd82	Cytoplasm	 cJun ; 	8.89E-05						
vTLCd83	Cytoplasm	 cMyc ; 	0.000385082						
vTLCd84	Cytoplasm	 bCATENIN ; 	1.34E-05						
vTLCd85	Cytoplasm	 PTEN ; 	1.45E-06						
vTLCd86	Cytoplasm	 AKT ; 	5.75E-06						
vTLCd87	Cytoplasm	 PDK1 ; 	7.01E-06						
vTLCd88	Cytoplasm	 Rictor ; 	7.24E-06						
vTLCd89	Cytoplasm	 mTOR ; 	5.16E-06						
vTLCd90	Cytoplasm	 GSK3b ; 	5.85E-06						
vTLCd91	Cytoplasm	 TSC1 ; 	3.68E-06						
vTLCd92	Cytoplasm	 TSC2 ; 	5.35E-06						
vTLCd93	Cytoplasm	 PKC ; 	3.18E-06						
vTLCd94	Cytoplasm	 RKIP ; 	5.93E-07						
vTLCd95	Cytoplasm	 ERK ; 	3.43E-06						
vTLCd96	Cytoplasm	 FOXO ; 	4.15E-06						
vTLCd97	Cytoplasm	 RhebD ; 	8.40E-06						
vTLCd98	Cytoplasm	 Raptor ; 	2.55E-05						
vTLCd99	Cytoplasm	 S6K ; 	6.41E-06						
vTLCd100	Cytoplasm	 EIF4EBP1 ; 	3.03E-05						
vTLCd101	Cytoplasm	 SOS ; 	5.00E-06						
vTLCd102	Cytoplasm	 EIF4E ; 	1.67E-06						
vE1	Cytoplasm	 EIF4E + mT ; EIF4E_mT	0.001						
vE2	Cytoplasm	 EIF4E_mT ; EIF4E + mT	0.1						
vE3	Cytoplasm	  ; mT	kE3	0.000210658					
vE4	Cytoplasm	 mT ; 	1.67E-06						
vE5	Cytoplasm	 EIF4E_mT ; 	1.67E-06						
vD1	Nucleus	  ; p53inac	0						
vD2	Nucleus	 p53inac ; 	kD2*MDM2*p53inac	1.39E-06					
vD3	Nucleus	 p53inac ; p53ac	kD3_1+kD3_2*p53inac*((ATMP^kD3_3)/((ATMP^kD3_3)+(kD3_4^kD3_3))+(ATRac^kD3_3)/((ATRac^kD3_3)+(kD3_4^kD3_3)))	0.0005	0.002777778	4	1000		
vD4	Nucleus	 p53ac ; p53inac	kD4*Wip1*p53ac	3.89E-08					
vD5	Nucleus	 p53inac ; 	kD5*p53inac	0.000555556					
vD6	Nucleus	 p53ac ; 	kD6*MDM2*p53ac	3.89E-07					
vD7	Nucleus	  ; MDM2	0						
vD8	Nucleus	  ; MDM2	0						
vD9	Nucleus	 MDM2 ; 	kD9*MDM2*ATMP	1.39E-07					
vD10	Nucleus	 MDM2 ; 	kD10*MDM2*ATRac	2.78E-08					
vD11	Nucleus	 MDM2 ; 	kD11*MDM2	0.000277778					
vD12	Nucleus	  ; Wip1	0						
vD13	Nucleus	 Wip1 ; 	kD13*Wip1	0.000194444					
vD14	Nucleus	  ; ATMP	kD14_1*((damageDSB^kD14_2)/((kD14_3^kD14_2)+(damageDSB^kD14_2)))	2.777778	20	2			
vD15	Nucleus	 ATMP ; 	kD15_1*ATMP*(Wip1^kD15_2)/((Wip1^kD15_2)+(kD15_3^kD15_2))	0.01388889	4	200			
vD16	Nucleus	 ATMP ; 	kD16*ATMP	0.002083333					
vD17	Nucleus	  ; ATRac	kD17_1*((damageSSB^kD517_2)/((kD17_3^kD17_2)+(damageSSB^kD17_2)))	1.25	20	2			
vD18	Nucleus	 ATRac ; 	kD18*ATRac	0.002083333					
vD19	Nucleus	 MDM2product1 ; 	MDM2product1/kD19	122.2128					
vD20	Nucleus	  ; MDM2product1	p53ac/kD20	122.2128					
vD21	Nucleus	 MDM2product2 ; 	MDM2product2/kD21	211.0104					
vD22	Nucleus	  ; MDM2product2	MDM2product1/kD22	211.0104					
vD23	Nucleus	 MDM2product3 ; 	MDM2product3/kD23	12.88008					
vD24	Nucleus	  ; MDM2product3	MDM2product2/kD24	12.88008					
vD25	Nucleus	 MDM2product4 ; 	MDM2product4/kD25	1213.38					
vD26	Nucleus	  ; MDM2product4	MDM2product3/kD26	1213.38					
vD27	Nucleus	 MDM2product5 ; 	MDM2product5/kD27	48.5856					
vD28	Nucleus	  ; MDM2product5	MDM2product4/kD28	48.5856					
vD29	Nucleus	 MDM2product6 ; 	MDM2product6/kD29	111.3804					
vD30	Nucleus	  ; MDM2product6	MDM2product5/kD30	111.3804					
vD31	Nucleus	 MDM2product7 ; 	MDM2product7/kD31	15.28632					
vD32	Nucleus	  ; MDM2product7	MDM2product6/kD32	15.28632					
vD33	Nucleus	 MDM2product8 ; 	MDM2product8/kD33	291.9924					
vD34	Nucleus	  ; MDM2product8	MDM2product7/kD34	291.9924					
vD35	Nucleus	 MDM2product9 ; 	MDM2product9/kD35	363.348					
vD36	Nucleus	  ; MDM2product9	MDM2product8/kD36	363.348					
vD37	Nucleus	 MDM2pro ; 	MDM2pro/kD37	478.62					
vD38	Nucleus	  ; MDM2pro	MDM2product9/kD38	478.62					
vD39	Nucleus	 Wip1product1 ; 	Wip1product1/kD39	289.3572					
vD40	Nucleus	  ; Wip1product1	p53ac/kD40	289.3572					
