gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params	Exp Protein	Protein_half_life_Schwan_h	Protein_half_life_lit_h	kTLnatSchwan_s	kTLnatLit_s
CDC20	2	7	0.005	0.0005	0.002000285705	0.1	2.139343e-05					0.0	0.0
WEE1	2	3	0.005	0.0005	0.008109267155	0.1	8.673013e-05					0.0	0.0
CHEK1	2	7	0.005	0.0005	0.0030616621750000003	0.1	3.274505e-05			7.71		0.0	0.0
CDKN1A	2	15	0.005	0.0005	0.015857713143744637	0.1	0.0001925409			14.78	0.5	0.008680555555556	0.0
CDK1	2	35	0.005	0.0005	0.004164508425	0.1	2.163381e-05			21.88		0.0	0.0
CDK2	2	4	0.005	0.0005	0.00089743632	0.1	4.079256e-05			46.9		0.0	0.0
CDK4	2	36	0.005	0.0005	0.00363423258	0.1	1.835471e-05			6.96		0.0	0.0
CDK6	2	3	0.005	0.0005	0.00068320956	0.1	4.140664e-05			13.79		0.0	0.0
TNFSF10	2	0	0.005	0.0005	0.0	0.0	0.0					0.0	0.0
TNFRSF10A	2	1	0.005	0.0005	0.00033833063	0.1	6.151466e-05			71.62		0.079633333333333	0.0
TNFRSF10B	2	12	0.005	0.0005	0.00405996756	0.1	6.151466e-05			71.62		0.079633333333333	0.0
CFLAR	2	18	0.005	0.0005	0.0052366891499999995	0.1	5.289585e-05			22.53	1.0	0.018180555555556	0.0
CASP8	2	10	0.005	0.0005	0.00179183565	0.1	3.257883e-05			82.29		0.017188888888889	0.0
CASP10	2	3	0.005	0.0005	0.0005375506950000001	0.1	3.257883e-05			82.29		0.017188888888889	0.0
BFAR	2	23	0.005	0.0005	0.007425738485	0.1	5.870149e-05			6.74		0.002113888888889	0.0
CASP3	2	17	0.005	0.0005	0.002871223245	0.1	3.070827e-05			163.37		0.141213888888889	0.0
CASP7	2	9	0.005	0.0005	0.0014891832450000001	0.1	3.008451e-05			31.75		0.021286111111111	0.0
CASP6	2	24	0.005	0.0005	0.0030113028000000003	0.1	2.28129e-05			361.84		0.073641666666667	0.0
XIAP	2	29	0.005	0.0005	0.011676908869999999	0.1	7.320946e-05			6.74		0.002113888888889	0.0
PARP1	2	25	0.005	0.0005	0.001442744875	0.1	1.049269e-05			76.88		0.046502777777778	0.0
BID	2	14	0.005	0.0005	0.0023570185099999995	0.1	3.061063e-05			67.97		0.097730555555556	0.0
BCL2	2	1	0.005	0.0005	0.0003864872	0.0	7.02704e-05			20.82		0.020286111111111	0.0
BCL2L1	2	3	0.005	0.0005	0.000577622595	0.1	3.500743e-05			20.82		0.020286111111111	0.0
MCL1	2	9	0.005	0.0005	0.003812309325	0.1	7.701635e-05			20.82	1.0	0.020286111111111	0.0
BAX	2	4	0.005	0.0005	0.00041569176	0.1	1.889508e-05			77.91		0.095627777777778	0.0
CYCS	2	327	0.005	0.0005	0.03504906009	0.1	1.948794e-05			145.82		0.078713888888889	0.0
DIABLO	2	10	0.005	0.0005	0.0006770939999999999	0.1	1.23108e-05			91.69		0.025075	0.0
APAF1	2	2	0.005	0.0005	0.00035358092000000005	0.1	3.214372e-05			31.77		0.079963888888889	0.0
CASP9	2	2	0.005	0.0005	0.00035299165000000004	0.1	3.209015e-05			82.29		0.017188888888889	0.0
BAD	2	18	0.005	0.0005	0.00186877944	0.1	1.887656e-05			20.82		0.020286111111111	0.0
BBC3	2	1	0.005	0.0005	0.00044494736434837494	0.1	8.089953e-05			20.82	7.0	0.020286111111111	0.0
PMAIP1	2	11	0.005	0.0005	0.004999451934348374	0.1	8.263557e-05			20.82	1.5	0.020286111111111	0.0
BCL2L11	2	1	0.005	0.0005	0.0004517356081123648	0.1	8.263557e-05			20.82	3.0	0.020286111111111	0.0
EGF	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
NRG1	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
EGFR	2	4	0.005	0.0005	0.0005082491537655912	0.1	2.314193e-05			12.71		0.023305555555556	0.0
ERBB2	2	1	0.005	0.0005	9.91243387655912e-05	0.1	1.818139e-05			18.52		0.001461111111111	0.0
ERBB3	2	1	0.005	0.0005	0.0001111282537655912	0.1	2.036392e-05			15.615		0.012383333333333	0.0
ERBB4	2	0	0.005	0.0005	0.0	0.0	2.036392e-05			15.615		0.012383333333333	0.0
EGFRvIII	2	0	0.005	0.0005	0.0	0.0	2.314193e-05			12.71		0.023305555555556	0.0
MET	2	14	0.005	0.0005	0.0014301740037655916	0.1	1.858503e-05			29.41		0.001288888888889	0.0
HGF	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
PDGFRA	2	2	0.005	0.0005	0.0005715455737655912	0.1	5.203808e-05			29.41	3.0	0.023305555555556	0.0
PDGFRB	2	3	0.005	0.0005	0.0008577550137655911	0.1	5.203808e-05			29.41	3.0	0.023305555555556	0.0
PDGFB	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
SPRY2	2	7	0.005	0.0005	0.010612731518778822	0.1	0.0002873745			29.59	2.0	0.002752777777778	0.0
CBL	2	3	0.005	0.0005	0.000699763185	0.1	4.240989e-05			29.59		0.002752777777778	0.0
GRB2	2	19	0.005	0.0005	0.0023811265500000003	0.1	2.27859e-05			17.22		0.253066666666667	0.0
PLCG1	2	3	0.005	0.0005	0.000303721275	0.1	1.840735e-05			30.97		0.004558333333333	0.0
PLCG2	2	0	0.005	0.0005	0.0	0.1	1.840735e-05			30.97		0.004558333333333	0.0
PIK3CA	2	2	0.005	0.0005	0.00067023726	0.1	6.093066e-05			40.03		0.001788888888889	0.0
PIK3CB	2	4	0.005	0.0005	0.00129143278	0.1	5.870149e-05			40.03		0.001788888888889	0.0
PIK3CG	2	0	0.005	0.0005	0.0	0.0	6.418029e-05			40.03		0.001788888888889	0.0
PIK3CD	2	2	0.005	0.0005	0.00047381422	0.0	4.307402e-05			40.03		0.001788888888889	0.0
PIK3R1	2	4	0.005	0.0005	0.00165464816	0.1	7.521128e-05			41.08		0.005330555555556	0.0
PIK3R2	2	9	0.005	0.0005	0.00092983176	0.1	1.878448e-05			41.08		0.005330555555556	0.0
PIK3R3	2	8	0.005	0.0005	0.00342987788	0.1	7.795177e-05			41.08		0.005330555555556	0.0
PIK3R4	2	3	0.005	0.0005	0.000625378875	0.1	3.790175e-05			64.41		0.063455555555556	0.0
PIK3C2A	2	15	0.005	0.0005	0.0021293060249999995	0.1	2.580977e-05			21.41		0.008227777777778	0.0
RASGRP1	2	1	0.005	0.0005	0.00040729804500000004	0.0	7.405419e-05			28.4133333333333		0.20735	0.0
RASGRP3	2	1	0.005	0.0005	0.00040729804500000004	0.1	7.405419e-05			28.4133333333333		0.20735	0.0
NRAS	2	59	0.005	0.0005	0.006336664015	0.1	1.952747e-05			32.34		0.20735	0.0
KRAS	2	9	0.005	0.0005	0.0015522432749999998	0.1	3.135845e-05			22.55		0.20735	0.0
HRAS	2	2	0.005	0.0005	0.000105057029	0.1	9.550639e-06			30.35		0.20735	0.0
NF1	2	6	0.005	0.0005	0.0007636836900000001	0.1	2.314193e-05			77.35		0.004455555555556	0.0
RAF1	2	8	0.005	0.0005	0.0010778372	0.1	2.44963e-05			20.01		0.000791666666667	0.0
BRAF	2	1	0.005	0.0005	0.000396619795	0.1	7.211269e-05			20.01		0.000791666666667	0.0
MAP2K1	2	6	0.005	0.0005	0.00071957523	0.1	2.180531e-05			86.8		0.239638888888889	0.0
MAP2K2	2	5	0.005	0.0005	0.00048135230000000004	0.1	1.750372e-05			86.8		0.239638888888889	0.0
DUSP6	2	3	0.005	0.0005	0.01746436443546912	0.1	0.001333386			10.98	0.75	0.001643055555556	0.0
RPS6KA1	2	1	0.005	0.0005	8.680121999999999e-05	0.1	1.578204e-05			90.15		0.026494444444445	0.0
RPS6KA2	2	3	0.005	0.0005	0.00027199688999999996	0.1	1.648466e-05			64.14		0.015136111111111	0.0
RPS6KA3	2	7	0.005	0.0005	0.0009007074999999999	0.1	2.3395e-05			51.11		0.005936111111111	0.0
RPS6KA4	2	1	0.005	0.0005	9.281112499999999e-05	0.1	1.687475e-05			29.38		0.003269444444444	0.0
DUSP1	2	5	0.005	0.0005	0.03213161043546912	0.1	0.001333386			10.98	0.75	0.001643055555556	0.0
FOS	2	1	0.005	0.0005	-0.03585882241477401	0.1	0.001333386			14.42	0.75	0.065258333333333	0.3
JUN	2	6	0.005	0.0005	0.019052400182543325	0.1	0.0005776804			14.42	2.1667	0.065258333333333	0.0
MYC	2	4	0.005	0.0005	0.0052190081527780435	0.1	0.0002406761			14.42	0.5	0.065258333333333	0.0
CTNNB1	2	61	0.005	0.0005	0.0059482002800000005	0.1	1.772936e-05			14.42		0.065258333333333	0.0
PTEN	2	8	0.005	0.0005	0.00071491992	0.1	1.624818e-05			132.94		0.006061111111111	0.0
AKT1	2	2	0.005	0.0005	0.00013245463	0.1	1.204133e-05			27.79		0.005794444444444	0.0
AKT2	2	3	0.005	0.0005	0.00023359743	0.1	1.415742e-05			41.17		0.002541666666667	0.0
PDPK1	2	4	0.005	0.0005	0.0006649764	0.1	3.02262e-05			27.48		0.006997222222222	0.0
RICTOR	2	4	0.005	0.0005	0.0013797718	0.1	6.27169e-05			26.59		0.011927777777778	0.0
MTOR	2	7	0.005	0.0005	0.00047095433000000003	0.1	1.223258e-05			37.35		0.003486111111111	0.0
GSK3B	2	5	0.005	0.0005	0.0007809549	0.1	2.839836e-05			32.89		0.087380555555556	0.0
TSC1	2	10	0.005	0.0005	0.0018643922000000002	0.1	3.389804e-05			52.3		0.001513888888889	0.0
TSC2	2	2	0.005	0.0005	0.00013396262	0.1	1.217842e-05			35.97		0.000405555555556	0.0
PRKCA	2	15	0.005	0.0005	0.00220313775	0.1	2.67047e-05			60.55		0.004833333333333	0.0
PRKCB	2	1	0.005	0.0005	0.00014687585	0.1	2.67047e-05			60.55		0.004833333333333	0.0
PRKCG	2	0	0.005	0.0005	0.0	0.0	2.67047e-05			60.55		0.004833333333333	0.0
PRKCD	2	2	0.005	0.0005	0.0002937517	0.1	2.67047e-05			60.55		0.004833333333333	0.0
PEBP1	2	90	0.005	0.0005	0.0055218834	0.1	1.115532e-05			324.85		0.180222222222222	0.0
MAPK1	2	12	0.005	0.0005	0.00128750754	0.1	1.950769e-05			53.2		0.441577777777778	0.0
MAPK3	2	3	0.005	0.0005	0.00027721847999999995	0.1	1.680112e-05			120.4		0.0377	0.0
FOXO3	2	4	0.005	0.0005	0.00177978966	0.1	8.089953e-05			46.45		0.033563888888889	0.0
RHEB	2	36	0.005	0.0005	0.00492546384	0.1	2.487608e-05			22.92		0.113625	0.0
RPTOR	2	1	0.005	0.0005	7.657083499999999e-05	0.1	1.392197e-05			7.56		0.011927777777778	0.0
RPS6KB1	2	5	0.005	0.0005	0.000556769125	0.1	2.024615e-05			30.03		0.0113	0.0
RPS6KB2	2	1	0.005	0.0005	0.000111353825	0.1	2.024615e-05			30.03		0.0113	0.0
EIF4EBP1	2	30	0.005	0.0005	0.0037070302500000003	0.1	2.246685e-05			6.36		0.124511111111111	0.0
SOS1	2	5	0.005	0.0005	0.0007022380749999999	0.1	2.553593e-05			38.51		0.008944444444444	0.0
CDKN2A	2	1	0.005	0.0005	9.609572500000001e-05	0.0	1.747195e-05			14.78		0.008680555555556	0.0
MDM4	2	14	0.005	0.0005	0.0050427377	0.1	6.54901e-05			0.74		0.003197222222222	0.0
FGFR1	2	10	0.005	0.0005	0.000984219593765591	0.1	1.791078e-05			29.41		0.001288888888889	0.0
FGFR2	2	3	0.005	0.0005	0.0012853308987655911	0.1	7.795177e-05			29.41		0.001288888888889	0.0
FGF1	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
FGF2	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
EIF4E	2	78	0.005	0.0005	0.00805854192	0.1	1.878448e-05			115.62		0.400219444444445	0.0
IRS1	2	4	0.005	0.0005	0.0013033537	0.1	5.924335e-05			3.31		0.003163888888889	0.0
IRS2	2	4	0.005	0.0005	0.0013033537	0.1	5.924335e-05			3.31		0.003163888888889	0.0
IGF1	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
IGF2	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
IGF1R	2	3	0.005	0.0005	0.0010476167187655912	0.1	6.354485e-05			29.41		0.001288888888889	0.0
MSH6	2	11	0.005	0.0005	0.00162691639	0.1	2.689118e-05			34.73		0.033355555555556	0.0
BRCA2	2	5	0.005	0.0005	0.00073950745	0.1	2.689118e-05			34.73	2.5	0.033355555555556	0.0
MGMT	2	1	0.005	0.0005	8.253894e-05	0.1	1.500708e-05			34.36		0.033355555555556	0.0
INSR	2	5	0.005	0.0005	0.0013744187437655913	0.1	5.001062e-05			29.41	6.7	0.001288888888889	0.0
INS	2	0	0.005	0.0005	0.0	0.0	1.925409e-05				10.0	0.0	0.05
