species	compartment	IC_Xinitialized	Annotation_ENSEMBL	Annotation_HGNC
C8	Cytoplasm	3.67E-04	ENSG00000064012 ENSG00000003400	CASP8 CASP10
Bar	Cytoplasm	8.42E-01	ENSG00000103429	BFAR
C8_Bar	Cytoplasm	9.51E-04	ENSG00000103429 ENSG00000064012 ENSG00000003400	BFAR CASP8 CASP10
pC3	Cytoplasm	8.08E+01	ENSG00000164305 ENSG00000165806	CASP3 CASP7
C8_pC3	Cytoplasm	4.69E-03	ENSG00000064012 ENSG00000003400 ENSG00000164305 ENSG00000165806	CASP8 CASP10 CASP3 CASP7
C3	Cytoplasm	1.37E-04	ENSG00000164305 ENSG00000165806	CASP3 CASP7
pC6	Cytoplasm	4.77E+01	ENSG00000138794	CASP6
C3_pC6	Cytoplasm	2.07E-08	ENSG00000164305 ENSG00000165806 ENSG00000138794	CASP3 CASP7 CASP6
C6	Cytoplasm	3.88E-04	ENSG00000138794	CASP6
C6_C8	Cytoplasm	9.77E-08	ENSG00000138794 ENSG00000064012 ENSG00000003400	CASP6 CASP8 CASP10
XIAP	Cytoplasm	5.48E+00	ENSG00000101966	XIAP
C3_XIAP	Cytoplasm	4.70E-05	ENSG00000164305 ENSG00000165806 ENSG00000101966	CASP3 CASP7 XIAP
PARP	Cytoplasm	6.40E+02	ENSG00000143799	PARP1
C3_PARP	Cytoplasm	2.75E-06	ENSG00000164305 ENSG00000165806 ENSG00000143799	CASP3 CASP7 PARP1
cPARP	Cytoplasm	1.10E+00	ENSG00000143799	PARP1
Bid	Cytoplasm	5.05E+01	ENSG00000015475	BID
C8_Bid	Cytoplasm	5.32E-05	ENSG00000064012 ENSG00000003400 ENSG00000015475	CASP8 CASP10 BID
tBid	Cytoplasm	1.16E-06	ENSG00000015475	BID
Bcl2c	Cytoplasm	1.25E+01	ENSG00000171791 ENSG00000171552 ENSG00000143384	BCL2 BCL2L1 MCL1
tBid_Bcl2c	Cytoplasm	4.09E-05	ENSG00000015475 ENSG00000171791 ENSG00000171552 ENSG00000143384	BID BCL2 BCL2L1 MCL1
Bax	Cytoplasm	8.83E+01	ENSG00000087088	BAX
tBid_Bax	Cytoplasm	3.24E-08	ENSG00000015475 ENSG00000087088	BID BAX
Baxactive	Cytoplasm	5.75E-05	ENSG00000087088	BAX
Baxm	Mitochondrion	7.72E-04	ENSG00000087088	BAX
Bcl2	Mitochondrion	1.78E+00	ENSG00000171791 ENSG00000171552 ENSG00000143384	BCL2 BCL2L1 MCL1
Baxm_Bcl2	Mitochondrion	3.88E-03	ENSG00000087088 ENSG00000171791 ENSG00000171552 ENSG00000143384	BAX BCL2 BCL2L1 MCL1
Bax2	Mitochondrion	1.88E-05	ENSG00000087088	BAX
Bax2_Bcl2	Mitochondrion	9.47E-05	ENSG00000087088 ENSG00000171791 ENSG00000171552 ENSG00000143384	BAX BCL2 BCL2L1 MCL1
Bax4	Mitochondrion	1.12E-08	ENSG00000087088	BAX
Bax4_Bcl2	Mitochondrion	5.65E-08	ENSG00000087088 ENSG00000171791 ENSG00000171552 ENSG00000143384	BAX BCL2 BCL2L1 MCL1
M	Mitochondrion	2.26E+03	GO:0005739	
Bax4_M	Mitochondrion	8.02E-08	ENSG00000087088	BAX
Mactive	Mitochondrion	8.02E-06	GO:0005739	
CytoCm	Mitochondrion	1.55E+04	ENSG00000179091	CYC1
Mactive_CytoCm	Mitochondrion	7.17E-04	GO:0005739 ENSG00000179091	CYC1
CytoCr	Mitochondrion	7.16E-03	ENSG00000179091	CYC1
Smacm	Mitochondrion	1.47E+03	ENSG00000184047	DIABLO
Mactive_Smacm	Mitochondrion	6.80E-05	ENSG00000184047	DIABLO
Smacr	Mitochondrion	5.43E-04	ENSG00000184047	DIABLO
CytoC	Cytoplasm	5.01E-04	ENSG00000179091	CYC1
Apaf	Cytoplasm	5.20E-01	ENSG00000120868	APAF1
CytoC_Apaf	Cytoplasm	4.12E-07	ENSG00000179091 ENSG00000120868	CYC1 APAF1
Apafactive	Cytoplasm	1.15E-03	ENSG00000120868	APAF1
pC9	Cytoplasm	4.53E+00	ENSG00000169174	PCSK9
Apop	Cytoplasm	4.15E-04	ENSG00000169174 ENSG00000120868	PCSK9 APAF1
Apop_C3	Cytoplasm	4.80E-04	ENSG00000169174 ENSG00000120868 ENSG00000164305 ENSG00000165806	PCSK9 APAF1 CASP3 CASP7
Smac	Cytoplasm	2.84E-05	ENSG00000184047	DIABLO
Apop_XIAP	Cytoplasm	1.40E-02	ENSG00000169174 ENSG00000120868 ENSG00000101966	PCSK9 APAF1 XIAP
Smac_XIAP	Cytoplasm	3.35E-03	ENSG00000184047 ENSG00000101966	DIABLO XIAP
C3_Ub	Cytoplasm	2.02E+00	ENSG00000164305 ENSG00000165806	CASP3 CASP7
BAD	Cytoplasm	9.46E-02	ENSG00000002330	BAD
PUMA	Cytoplasm	2.91E-02	ENSG00000105327	BBC3
NOXA	Cytoplasm	5.55E-03	ENSG00000141682	PMAIP1
Bcl2c_BAD	Cytoplasm	3.33E+00	ENSG00000171791 ENSG00000171552 ENSG00000143384 ENSG00000002330	BCL2 BCL2L1 MCL1 BAD
Bcl2c_PUMA	Cytoplasm	1.02E+00	ENSG00000171791 ENSG00000171552 ENSG00000143384 ENSG00000105327	BCL2 BCL2L1 MCL1 PUMA
Bcl2c_NOXA	Cytoplasm	1.94E-01	ENSG00000171791 ENSG00000171552 ENSG00000143384 ENSG00000141682	BCL2 BCL2L1 MCL1 NOXA
BIM	Cytoplasm	6.00E-02	ENSG00000153094	BCL2L11
BIM_Bax	Cytoplasm	1.67E-08	ENSG00000153094 ENSG00000087088	BCL2L11 BAX
Bcl2c_BIM	Cytoplasm	2.12E+00	ENSG00000171791 ENSG00000171552 ENSG00000143384 ENSG00000153094	BCL2 BCL2L1 MCL1 BCL2L11
ppERK_BIM	Cytoplasm	6.06E-04	ENSG00000100030 ENSG00000102882 ENSG00000153094	MAPK1 MAPK3 BCL2L11
pBIM	Cytoplasm	1.07E-01	ENSG00000153094	BCL2L11
ppAKT_BAD	Cytoplasm	3.35E-05	ENSG00000142208 ENSG00000105221 ENSG00000002330	AKT1 AKT2 BAD
pBAD	Cytoplasm	9.05E-01	ENSG00000002330	BAD
ppERK_BAD	Cytoplasm	9.56E-04	ENSG00000100030 ENSG00000102882 ENSG00000002330	MAPK1 MAPK3 BAD
E	Extracellular	9.82E-17	ENSG00000138798	EGF
H	Extracellular	9.36E-15	ENSG00000157168	NRG1
HGF	Extracellular	2.47E-15	ENSG00000019991	HGF
P	Extracellular	2.86E-19	ENSG00000100311	PDGFB
F	Extracellular	4.13E-16	ENSG00000113578 ENSG00000138685	FGF1 FGF2
I	Extracellular	1.26E-18	ENSG00000017427 ENSG00000167244	IGF1 IGF2
INS	Extracellular	8.95E-15	ENSG00000254647	INS
E1	Cytoplasm	5.00E+01	ENSG00000146648	EGFR
pE1	Cytoplasm	5.05E+00	ENSG00000146648	EGFR
E2	Cytoplasm	3.80E+00	ENSG00000141736	ERBB2
pE2	Cytoplasm	3.84E-01	ENSG00000141736	ERBB2
E3	Cytoplasm	1.74E+00	ENSG00000065361	ERBB3
E4	Cytoplasm	8.22E-18	ENSG00000178568	ERBB4
pE4	Cytoplasm	8.30E-19	ENSG00000178568	ERBB4
Ev3	Cytoplasm	4.65E-11		
Met	Cytoplasm	8.57E+00	ENSG00000105976	MET
Pr	Cytoplasm	2.30E-01	ENSG00000134853 ENSG00000113721	PDGFRA PDGFRB
Fr	Cytoplasm	1.87E-01	ENSG00000077782 ENSG00000066468	FGFR1 FGFR2
Ir	Cytoplasm	2.18E-02	ENSG00000140443	IGF1R
Isr	Cytoplasm	2.98E-02	ENSG00000171105	INSR
E1E1	Cytoplasm	2.50E+00	ENSG00000146648	EGFR
E1E2	Cytoplasm	1.90E-01	ENSG00000146648 ENSG00000141736	EGFR ERBB2
E1E3	Cytoplasm	8.71E-02	ENSG00000146648 ENSG00000065361	EGFR ERBB3
E1E4	Cytoplasm	4.11E-19	ENSG00000146648 ENSG00000178568	EGFR ERBB4
E2E2	Cytoplasm	1.44E-02	ENSG00000141736	ERBB2
E2E3	Cytoplasm	6.61E-03	ENSG00000141736 ENSG00000065361	ERBB2 ERBB3
E2E4	Cytoplasm	3.12E-20	ENSG00000141736 ENSG00000178568	ERBB2 ERBB4
E3E4	Cytoplasm	1.43E-20	ENSG00000065361 ENSG00000178568	ERBB3
E4E4	Cytoplasm	0.00E+00	ENSG00000178568	ERBB4
Met_Met	Cytoplasm	7.35E-02	ENSG00000105976	MET
FrFr	Cytoplasm	3.49E-05	ENSG00000113578 ENSG00000138685	FGF1 FGF2
IrIr	Cytoplasm	7.27E-01	ENSG00000140443	IGF1R
Isr_Isr	Cytoplasm	3.09E-01	ENSG00000171105	INSR
EE1	Cytoplasm	1.84E-17	ENSG00000138798 ENSG00000146648	EGF EGFR
HE3	Cytoplasm	1.57E-16	ENSG00000157168 ENSG00000065361	NRG1 ERBB3
HE4	Cytoplasm	1.75E-28	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
HGF_Met	Cytoplasm	7.66E-14	ENSG00000019991 ENSG00000105976	HGF MET
PPr	Cytoplasm	6.56E-20	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB
FFr	Cytoplasm	3.02E-16	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2
EE1E2	Cytoplasm	2.00E-16	ENSG00000138798 ENSG00000146648 ENSG00000141736	EGF EGFR ERBB2
EE1Ev3	Cytoplasm	4.85E-27	ENSG00000138798 ENSG00000146648	EGF EGFR
EE1E1	Cytoplasm	5.01E-16	ENSG00000138798 ENSG00000146648	EGF EGFR
EE1E3	Cytoplasm	9.09E-17	ENSG00000138798 ENSG00000146648 ENSG00000065361	EGF EGFR ERBB3
EE1E4	Cytoplasm	2.69E-27	ENSG00000138798 ENSG00000146648 ENSG00000178568	EGF EGFR ERBB4
E2HE3	Cytoplasm	5.40E-16	ENSG00000141736 ENSG00000157168 ENSG00000065361	ERBB2 NRG1 ERBB3
E1HE3	Cytoplasm	6.28E-15	ENSG00000146648 ENSG00000157168 ENSG00000065361	EGFR NRG1 ERBB3
HE3E3	Cytoplasm	2.72E-16	ENSG00000157168 ENSG00000065361	NRG1 ERBB3
HE3Ev3	Cytoplasm	7.19E-27	ENSG00000157168 ENSG00000065361	NRG1 ERBB3
HE3E4	Cytoplasm	4.68E-27	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4
E2HE4	Cytoplasm	6.44E-28	ENSG00000141736 ENSG00000157168 ENSG00000178568	ERBB2 NRG1 ERBB4
HE4Ev3	Cytoplasm	8.09E-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
E1HE4	Cytoplasm	7.12E-27	ENSG00000146648 ENSG00000157168 ENSG00000178568	EGFR NRG1 ERBB4
E3HE4	Cytoplasm	1.97E-27	ENSG00000065361 ENSG00000157168 ENSG00000178568	ERBB3 NRG1 ERBB4
HE4E4	Cytoplasm	1.66E-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
HGF_Met_Met	Cytoplasm	5.63E-13	ENSG00000019991 ENSG00000105976	HGF MET
PPrPr	Cytoplasm	4.53E-24	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB
FFrFr	Cytoplasm	4.94E-16	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2
IIrIr	Cytoplasm	5.15E-19	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R
INS_Isr_Isr	Cytoplasm	6.87E-17	ENSG00000254647 ENSG00000171105	INS INSR
EE1EE1	Cytoplasm	0.00E+00	ENSG00000138798 ENSG00000146648	EGF EGFR
EE1HE3	Cytoplasm	4.74E-32	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361	EGF EGFR NRG1 ERBB3
EE1HE4	Cytoplasm	8.57E-43	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568	EGF EGFR NRG1 ERBB4
HE3HE3	Cytoplasm	9.31E-32	ENSG00000157168 ENSG00000065361	NRG1 ERBB3
HE3HE4	Cytoplasm	2.35E-42	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4
HE4HE4	Cytoplasm	0.00E+00	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
HGF_Met_HGF_Met	Cytoplasm	1.03E-26	ENSG00000019991 ENSG00000105976	HGF MET
PPrPPr	Cytoplasm	0.00E+00	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB
FFrFFr	Cytoplasm	8.11E-30	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2
IIrIrI	Cytoplasm	7.61E-38	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R
INS_Isr_Isr_INS	Cytoplasm	1.02E-27	ENSG00000254647 ENSG00000171105	INS INSR
E1_ppERK	Cytoplasm	5.05E-01	ENSG00000146648 ENSG00000100030 ENSG00000102882	EGFR MAPK1 MAPK3
E2_ppERK	Cytoplasm	3.84E-02	ENSG00000141736 ENSG00000100030 ENSG00000102882	ERBB2 MAPK1 MAPK3
E4_ppERK	Cytoplasm	8.30E-20	ENSG00000178568 ENSG00000100030 ENSG00000102882	ERBB4 MAPK1 MAPK3
pEE1E2	Cytoplasm	1.99E-16	ENSG00000138798 ENSG00000146648 ENSG00000141736	EGF EGFR ERBB2
pEE1Ev3	Cytoplasm	4.84E-27	ENSG00000138798 ENSG00000146648	EGF EGFR
pEE1E1	Cytoplasm	4.95E-16	ENSG00000138798 ENSG00000146648	EGF EGFR
pEE1EE1	Cytoplasm	0.00E+00	ENSG00000138798 ENSG00000146648	EGF EGFR
pEE1E3	Cytoplasm	9.05E-17	ENSG00000138798 ENSG00000146648 ENSG00000065361	EGF EGFR ERBB3
pEE1HE3	Cytoplasm	4.71E-32	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361	EGF EGFR NRG1 ERBB3
pEE1E4	Cytoplasm	2.71E-27	ENSG00000138798 ENSG00000146648 ENSG00000178568	EGF EGFR ERBB4
pEE1HE4	Cytoplasm	8.55E-43	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568	EGF EGFR NRG1 ERBB4
pE2HE3	Cytoplasm	5.39E-16	ENSG00000141736 ENSG00000157168 ENSG00000065361	ERBB2 NRG1 ERBB3
pHE3Ev3	Cytoplasm	7.19E-27	ENSG00000157168 ENSG00000065361	NRG1 ERBB3
pE1HE3	Cytoplasm	6.26E-15	ENSG00000146648 ENSG00000157168 ENSG00000065361	EGFR NRG1 ERBB3
pHE3E4	Cytoplasm	4.72E-27	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4
pHE3HE4	Cytoplasm	2.36E-42	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4
pE2HE4	Cytoplasm	6.44E-28	ENSG00000141736 ENSG00000157168 ENSG00000178568	ERBB2 NRG1 ERBB4
pHE4Ev3	Cytoplasm	8.09E-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
pE1HE4	Cytoplasm	7.09E-27	ENSG00000146648 ENSG00000157168 ENSG00000178568	EGFR NRG1 ERBB4
pE3HE4	Cytoplasm	1.99E-27	ENSG00000065361 ENSG00000157168 ENSG00000178568	ERBB3 NRG1 ERBB4
pHE4E4	Cytoplasm	1.67E-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
pHE4HE4	Cytoplasm	0.00E+00	ENSG00000157168 ENSG00000178568	NRG1 ERBB4
pHGF_Met_Met	Cytoplasm	5.62E-13	ENSG00000019991 ENSG00000105976	HGF MET
pHGF_Met_HGF_Met	Cytoplasm	1.02E-26	ENSG00000019991 ENSG00000105976	HGF MET
pPPrPPr	Cytoplasm	0.00E+00	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB
pPPrPr	Cytoplasm	4.52E-24	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB
pFFrFFr	Cytoplasm	8.14E-30	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2
pFFrFr	Cytoplasm	4.94E-16	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2
pIIrIr	Cytoplasm	5.15E-19	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R
pINS_Isr_Isr	Cytoplasm	6.86E-17	ENSG00000254647 ENSG00000171105	INS INSR
pIIrIrI	Cytoplasm	7.61E-38	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R
pINS_Isr_Isr_INS	Cytoplasm	1.02E-27	ENSG00000254647 ENSG00000171105	INS INSR
pIIrIr_IRS	Cytoplasm	3.75E-19	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000169047 ENSG00000185950	IGF1 IGF2 IGF1R IRS1 IRS2
pINS_Isr_Isr_IRS	Cytoplasm	4.96E-17	ENSG00000254647 ENSG00000171105 ENSG00000169047 ENSG00000185950	INS INSR IRS1 IRS2
pIIrIrI_IRS	Cytoplasm	5.88E-38	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000197081 ENSG00000169047 ENSG00000185950	IGF1 IGF2 IGF1R IGF2R IRS1 IRS2
pINS_Isr_Isr_INS_IRS	Cytoplasm	7.74E-28	ENSG00000254647 ENSG00000171105 ENSG00000169047 ENSG00000185950	INS INSR IRS1 IRS2
Sp_EE1E2	Cytoplasm	3.30E-18	ENSG00000136158 ENSG00000138798 ENSG00000146648 ENSG00000141736	SPRY2 EGF EGFR ERBB2
Sp_EE1Ev3	Cytoplasm	1.19E-28	ENSG00000136158 ENSG00000138798 ENSG00000146648	SPRY2 EGF EGFR
Sp_EE1E1	Cytoplasm	8.27E-18	ENSG00000136158 ENSG00000138798 ENSG00000146648	SPRY2 EGF EGFR
Sp_EE1EE1	Cytoplasm	0.00E+00	ENSG00000136158 ENSG00000138798 ENSG00000146648	SPRY2 EGF EGFR
Sp_EE1E3	Cytoplasm	1.50E-18	ENSG00000136158 ENSG00000138798 ENSG00000146648 ENSG00000065361	SPRY2 EGF EGFR ERBB3
Sp_EE1HE3	Cytoplasm	7.81E-34	ENSG00000136158 ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361	SPRY2 EGF EGFR NRG1 ERBB3
Sp_EE1E4	Cytoplasm	4.45E-29	ENSG00000136158 ENSG00000138798 ENSG00000146648 ENSG00000178568	SPRY2 EGF EGFR ERBB4
Sp_EE1HE4	Cytoplasm	1.42E-44	ENSG00000136158 ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568	SPRY2 EGF EGFR NRG1 ERBB4
Sp_E2HE3	Cytoplasm	8.90E-18	ENSG00000136158 ENSG00000141736 ENSG00000157168 ENSG00000065361	SPRY2 ERBB2 NRG1 ERBB3
Sp_HE3Ev3	Cytoplasm	1.19E-28	ENSG00000136158 ENSG00000157168 ENSG00000065361 ENSG00000178568	SPRY2 NRG1 ERBB3
Sp_E1HE3	Cytoplasm	1.04E-16	ENSG00000136158 ENSG00000146648 ENSG00000157168 ENSG00000065361	SPRY2 EGFR NRG1 ERBB3
Sp_HE3E4	Cytoplasm	7.70E-29	ENSG00000136158 ENSG00000157168 ENSG00000065361 ENSG00000178568	SPRY2 NRG1 ERBB3 ERBB4
Sp_HE3HE4	Cytoplasm	3.87E-44	ENSG00000136158 ENSG00000157168 ENSG00000065361 ENSG00000178568	SPRY2 NRG1 ERBB3 ERBB4
Sp_E2HE4	Cytoplasm	1.06E-29	ENSG00000136158 ENSG00000141736 ENSG00000157168 ENSG00000178568	SPRY2 ERBB2 NRG1 ERBB4
Sp_HE4Ev3	Cytoplasm	1.33E-40	ENSG00000136158 ENSG00000157168 ENSG00000178568	SPRY2 NRG1 ERBB4
Sp_E1HE4	Cytoplasm	1.17E-28	ENSG00000136158 ENSG00000146648 ENSG00000157168 ENSG00000178568	SPRY2 EGFR NRG1 ERBB4
