gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
CBL	2	3	0.005	0.0005	0.0006997631228	0.1	4.24098862310294e-05	k71_2
GRB2	2	5	0.005	0.0005	0.0006266123427	0.1	2.27859033714643e-05	k72_2
PLCG1	2	1	0.005	0.0005	0.0001012404263	0.1	1.8407350237942e-05	k73_2
PLCG2	2	1	0.005	0.0005	0.0001012404263	0.1	1.8407350237942e-05	k74_2
PIK3CA	2	2	0.005	0.0005	0.0006702372527	0.1	6.09306593319221e-05	k75_2
PIK3CB	2	2	0.005	0.0005	0.0006457163776	0.1	5.87014888685591e-05	k76_2
PIK3CG	2	0	0.005	0.0005	0.0	0.0	6.41802944962912e-05	k77_2
PIK3CD	2	0	0.005	0.0005	0.0	0.0	4.30740231518733e-05	k78_2
PIK3R1	2	2	0.005	0.0005	0.0008273241087	0.1	7.52112826128413e-05	k79_2
PIK3R2	2	1	0.005	0.0005	0.0001033146204	0.1	1.87844764379389e-05	k80_2
PIK3R3	2	9	0.005	0.0005	0.003858612847	0.1	7.79517746918517e-05	k81_2
PIK3R4	2	1	0.005	0.0005	0.000208459618	0.1	3.79017487182822e-05	k82_2
PIK3C2A	2	5	0.005	0.0005	0.0007097686724	0.1	2.58097699046748e-05	k83_2
RASGRP1	2	0	0.005	0.0005	0.0	0.0	7.40541859572591e-05	k84_2
RASGRP3	2	1	0.005	0.0005	0.0004072980228	0.1	7.40541859572591e-05	k85_2
NRAS	2	14	0.005	0.0005	0.001503615419	0.1	1.9527472970474e-05	k86_2
KRAS	2	8	0.005	0.0005	0.001379771804	0.1	3.13584500796211e-05	k87_2
HRAS	2	3	0.005	0.0005	0.0001575855445	0.1	9.5506390619481e-06	k88_2
NF1	2	4	0.005	0.0005	0.0005091225285	0.1	2.31419331116435e-05	k89_2
RAF1	2	6	0.005	0.0005	0.0008083777551	0.1	2.44962956092715e-05	k90_2
BRAF	2	1	0.005	0.0005	0.0003966197974	0.1	7.2112690445271e-05	k91_2
MAP2K1	2	2	0.005	0.0005	0.0002398584053	0.1	2.18053095683889e-05	k92_2
MAP2K2	2	3	0.005	0.0005	0.0002888113252	0.1	1.75037166808067e-05	k93_2
DUSP6	2	1	0.005	0.0005	0.007120648798	0.1	0.00133338561972904	k94_2
RPS6KA1	2	1	0.005	0.0005	8.680121797e-05	0.1	1.57820396302355e-05	k95_2
RPS6KA2	2	2	0.005	0.0005	0.0001813313115	0.1	1.64846646822666e-05	k96_2
RPS6KA3	2	4	0.005	0.0005	0.0005146900895	0.1	2.3395004069122e-05	k97_2
RPS6KA4	2	1	0.005	0.0005	9.281111825e-05	0.1	1.6874748772031e-05	k98_2
DUSP1	3	3	0.005	0.0005	0.01445426971	0.1	0.00133338561972904	k99_2
FOS	2	3	0.005	0.0005	0.01869898926	0.1	0.00133338561972904	k100_2
JUN	2	7	0.005	0.0005	0.02217216551	0.1	0.000577680418508472	k101_2
MYC	3	2	0.005	0.0005	0.001724362955	0.1	0.000240676104361092	k102_2
CTNNB1	2	33	0.005	0.0005	0.003217879406	0.1	1.77293631205224e-05	k103_2
PTEN	2	23	0.005	0.0005	0.002055394241	0.1	1.62481758218459e-05	k104_2
AKT1	2	1	0.005	0.0005	6.622732077e-05	0.1	1.20413310499608e-05	k105_2
AKT2	2	3	0.005	0.0005	0.0002335973954	0.1	1.41574179035937e-05	k106_2
PDPK1	2	3	0.005	0.0005	0.0004987322728	0.1	3.02261983499017e-05	k107_2
RICTOR	2	4	0.005	0.0005	0.001379771804	0.1	6.27169001592422e-05	k108_2
MTOR	2	1	0.005	0.0005	6.727921596e-05	0.1	1.22325847197506e-05	k109_2
GSK3B	2	3	0.005	0.0005	0.0004685729465	0.1	2.8398360396589e-05	k110_2
TSC1	2	4	0.005	0.0005	0.0007457569431	0.1	3.38980428677595e-05	k111_2
TSC2	2	1	0.005	0.0005	6.698133202e-05	0.1	1.21784240030913e-05	k112_2
PRKCA	2	2	0.005	0.0005	0.0002937516946	0.1	2.67046995130199e-05	k113_2
PRKCB	2	1	0.005	0.0005	0.0001468758473	0.1	2.67046995130199e-05	k114_2
PRKCG	2	0	0.005	0.0005	0.0	0.0	2.67046995130199e-05	k115_2
PRKCD	2	3	0.005	0.0005	0.000440627542	0.1	2.67046995130199e-05	k116_2
PEBP1	2	37	0.005	0.0005	0.002270108331	0.1	1.11553234929823e-05	k117_2
MAPK1	2	6	0.005	0.0005	0.0006437537138	0.1	1.95076882967451e-05	k118_2
MAPK3	2	2	0.005	0.0005	0.0001848123664	0.1	1.68011242136888e-05	k119_2
FOXO3	2	4	0.005	0.0005	0.001779789679	0.1	8.0899530877678e-05	k120_2
RHEB	2	31	0.005	0.0005	0.004241372175	0.1	2.48760831380974e-05	k121_2
RPTOR	2	1	0.005	0.0005	7.657085027e-05	0.1	1.39219727757682e-05	k122_2
RPS6KB1	2	3	0.005	0.0005	0.0003340614698	0.1	2.02461496833726e-05	k123_2
RPS6KB2	2	2	0.005	0.0005	0.0002227076465	0.1	2.02461496833726e-05	k124_2
EIF4EBP1	2	38	0.005	0.0005	0.004695571138	0.1	2.24668475482933e-05	k125_2
SOS1	2	3	0.005	0.0005	0.0004213427822	0.1	2.55359261921583e-05	k126_2
CDKN2A	0	0	0.005	0.0005	0.0	0.0	1.74719494998978e-05	k127_2
MDM4	4	7	0.005	0.0005	0.001260684356	0.1	6.5490096424787e-05	k128_2
FGFR1	2	1	0.005	0.0005	4.722100293e-05	0.1	1.79107798594301e-05	k129_2
FGFR2	2	2	0.005	0.0005	0.0008061812353	0.1	7.79517746918517e-05	k130_2
FGF1	3	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k131_2
FGF2	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k132_2
EIF4E	2	38	0.005	0.0005	0.003925955576	0.1	1.87844764379389e-05	k133_2
IRS1	2	3	0.005	0.0005	0.0009775152546	0.1	5.92433487658073e-05	k134_2
IRS2	2	2	0.005	0.0005	0.0006516768364	0.1	5.92433487658073e-05	k135_2
IGF1	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k136_2
IGF2	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k137_2
IGF1R	2	3	0.005	0.0005	0.0009972016733	0.1	6.35448460359319e-05	k138_2
MSH6	2	5	0.005	0.0005	0.0007395075832	0.1	2.68911848448148e-05	k139_2
BRCA2	2	2	0.005	0.0005	0.0002958030333	0.1	2.68911848448148e-05	k140_2
MGMT	2	5	0.005	0.0005	0.0004126948009	0.1	1.50070836702162e-05	k141_2
INSR	2	6	0.005	0.0005	0.001599062144	0.1	5.00106190880191e-05	k142_2
INS	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k143_2
