gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
DIABLO	2	9	0.005	0.0005	6.093845E-04	0.1	1.231080E-05	k51_2
APAF1	2	2	0.005	0.0005	3.535809E-04	0.1	3.214372E-05	k52_2
CASP9	2	2	0.005	0.0005	3.529916E-04	0.1	3.209015E-05	k53_2
BAD	2	13	0.005	0.0005	1.349674E-03	0.1	1.887656E-05	k54_2
BBC3	2	1	0.005	0.0005	4.449474E-04	0.1	8.089953E-05	k55_2
PMAIP1	2	4	0.005	0.0005	1.817983E-03	0.1	8.263557E-05	k56_2
BCL2L11	2	3	0.005	0.0005	1.201570E-03	0.1	8.263557E-05	k57_2
EGF	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k58_2
NRG1	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k59_2
EGFR	2	8	0.005	0.0005	9.669568E-04	0.1	2.314193E-05	k60_2
ERBB2	2	4	0.005	0.0005	3.487022E-04	0.1	1.818139E-05	k61_2
ERBB3	2	17	0.005	0.0005	1.852738E-03	0.1	2.036392E-05	k62_2
ERBB4	2	0	0.005	0.0005	0.000000E+00	0	2.036392E-05	k63_2
EGFRvIII	2	0	0.005	0.0005	0.000000E+00	0	2.314193E-05	k64_2
MET	2	18	0.005	0.0005	1.788629E-03	0.1	1.858503E-05	k65_2
HGF	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k66_2
PDGFRA	2	1	0.005	0.0005	2.349211E-04	0.1	5.203808E-05	k67_2
PDGFRB	3	1	0.005	0.0005	1.395180E-04	0.1	5.203808E-05	k68_2
PDGFB	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k69_2
SPRY2	2	2	0.005	0.0005	3.138670E-03	0.1	2.873745E-04	k70_2
CBL	2	3	0.005	0.0005	6.997631E-04	0.1	4.240989E-05	k71_2
GRB2	2	5	0.005	0.0005	6.266123E-04	0.1	2.278590E-05	k72_2
PLCG1	2	1	0.005	0.0005	1.012404E-04	0.1	1.840735E-05	k73_2
PLCG2	2	1	0.005	0.0005	1.012404E-04	0.1	1.840735E-05	k74_2
PIK3CA	2	2	0.005	0.0005	6.702373E-04	0.1	6.093066E-05	k75_2
PIK3CB	2	2	0.005	0.0005	6.457164E-04	0.1	5.870149E-05	k76_2
PIK3CG	2	0	0.005	0.0005	0.000000E+00	0	6.418029E-05	k77_2
PIK3CD	2	0	0.005	0.0005	0.000000E+00	0	4.307402E-05	k78_2
PIK3R1	2	2	0.005	0.0005	8.273241E-04	0.1	7.521128E-05	k79_2
PIK3R2	2	1	0.005	0.0005	1.033146E-04	0.1	1.878448E-05	k80_2
PIK3R3	2	9	0.005	0.0005	3.858613E-03	0.1	7.795177E-05	k81_2
PIK3R4	2	1	0.005	0.0005	2.084596E-04	0.1	3.790175E-05	k82_2
PIK3C2A	2	5	0.005	0.0005	7.097687E-04	0.1	2.580977E-05	k83_2
RASGRP1	2	0	0.005	0.0005	0.000000E+00	0	7.405419E-05	k84_2
RASGRP3	2	1	0.005	0.0005	4.072980E-04	0.1	7.405419E-05	k85_2
NRAS	2	14	0.005	0.0005	1.503615E-03	0.1	1.952747E-05	k86_2
KRAS	2	8	0.005	0.0005	1.379772E-03	0.1	3.135845E-05	k87_2
HRAS	2	3	0.005	0.0005	1.575855E-04	0.1	9.550639E-06	k88_2
NF1	2	4	0.005	0.0005	5.091225E-04	0.1	2.314193E-05	k89_2
RAF1	2	6	0.005	0.0005	8.083778E-04	0.1	2.449630E-05	k90_2
BRAF	2	1	0.005	0.0005	3.966198E-04	0.1	7.211269E-05	k91_2
MAP2K1	2	2	0.005	0.0005	2.398584E-04	0.1	2.180531E-05	k92_2
MAP2K2	2	3	0.005	0.0005	2.888113E-04	0.1	1.750372E-05	k93_2
DUSP6	2	1	0.005	0.0005	7.120649E-03	0.1	1.333386E-03	k94_2
RPS6KA1	2	1	0.005	0.0005	8.680122E-05	0.1	1.578204E-05	k95_2
RPS6KA2	2	2	0.005	0.0005	1.813313E-04	0.1	1.648466E-05	k96_2
RPS6KA3	2	4	0.005	0.0005	5.146901E-04	0.1	2.339500E-05	k97_2
RPS6KA4	2	1	0.005	0.0005	9.281112E-05	0.1	1.687475E-05	k98_2
DUSP1	3	3	0.005	0.0005	1.445427E-02	0.1	1.333386E-03	k99_2
FOS	2	3	0.005	0.0005	1.869899E-02	0.1	1.333386E-03	k100_2
JUN	2	7	0.005	0.0005	2.217217E-02	0.1	5.776804E-04	k101_2
MYC	3	2	0.005	0.0005	1.724363E-03	0.1	2.406761E-04	k102_2
CTNNB1	2	33	0.005	0.0005	3.217879E-03	0.1	1.772936E-05	k103_2
PTEN	2	23	0.005	0.0005	2.055394E-03	0.1	1.624818E-05	k104_2
AKT1	2	1	0.005	0.0005	6.622732E-05	0.1	1.204133E-05	k105_2
AKT2	2	3	0.005	0.0005	2.335974E-04	0.1	1.415742E-05	k106_2
PDPK1	2	3	0.005	0.0005	4.987323E-04	0.1	3.022620E-05	k107_2
RICTOR	2	4	0.005	0.0005	1.379772E-03	0.1	6.271690E-05	k108_2
MTOR	2	1	0.005	0.0005	6.727922E-05	0.1	1.223258E-05	k109_2
GSK3B	2	3	0.005	0.0005	4.685729E-04	0.1	2.839836E-05	k110_2
TSC1	2	4	0.005	0.0005	7.457569E-04	0.1	3.389804E-05	k111_2
TSC2	2	1	0.005	0.0005	6.698133E-05	0.1	1.217842E-05	k112_2
PRKCA	2	2	0.005	0.0005	2.937517E-04	0.1	2.670470E-05	k113_2
PRKCB	2	1	0.005	0.0005	1.468758E-04	0.1	2.670470E-05	k114_2
PRKCG	2	0	0.005	0.0005	0.000000E+00	0	2.670470E-05	k115_2
PRKCD	2	3	0.005	0.0005	4.406275E-04	0.1	2.670470E-05	k116_2
PEBP1	2	37	0.005	0.0005	2.270108E-03	0.1	1.115532E-05	k117_2
MAPK1	2	6	0.005	0.0005	6.437537E-04	0.1	1.950769E-05	k118_2
MAPK3	2	2	0.005	0.0005	1.848124E-04	0.1	1.680112E-05	k119_2
FOXO3	2	4	0.005	0.0005	1.779790E-03	0.1	8.089953E-05	k120_2
RHEB	2	31	0.005	0.0005	4.241372E-03	0.1	2.487608E-05	k121_2
RPTOR	2	1	0.005	0.0005	7.657085E-05	0.1	1.392197E-05	k122_2
RPS6KB1	2	3	0.005	0.0005	3.340615E-04	0.1	2.024615E-05	k123_2
RPS6KB2	2	2	0.005	0.0005	2.227076E-04	0.1	2.024615E-05	k124_2
EIF4EBP1	2	38	0.005	0.0005	4.695571E-03	0.1	2.246685E-05	k125_2
SOS1	2	3	0.005	0.0005	4.213428E-04	0.1	2.553593E-05	k126_2
CDKN2A	0	0	0.005	0.0005	0.000000E+00	0	1.747195E-05	k127_2
MDM4	4	7	0.005	0.0005	1.260684E-03	0.1	6.549010E-05	k128_2
FGFR1	2	1	0.005	0.0005	4.722100E-05	0.1	1.791078E-05	k129_2
FGFR2	2	2	0.005	0.0005	8.061812E-04	0.1	7.795177E-05	k130_2
FGF1	3	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k131_2
FGF2	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k132_2
EIF4E	2	38	0.005	0.0005	3.925956E-03	0.1	1.878448E-05	k133_2
IRS1	2	3	0.005	0.0005	9.775153E-04	0.1	5.924335E-05	k134_2
IRS2	2	2	0.005	0.0005	6.516768E-04	0.1	5.924335E-05	k135_2
IGF1	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k136_2
IGF2	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k137_2
IGF1R	2	3	0.005	0.0005	9.972017E-04	0.1	6.354485E-05	k138_2
MSH6	2	5	0.005	0.0005	7.395076E-04	0.1	2.689118E-05	k139_2
BRCA2	2	2	0.005	0.0005	2.958030E-04	0.1	2.689118E-05	k140_2
MGMT	2	5	0.005	0.0005	4.126948E-04	0.1	1.500708E-05	k141_2
INSR	2	6	0.005	0.0005	1.599062E-03	0.1	5.001062E-05	k142_2
INS	2	0	0.005	0.0005	0.000000E+00	0	1.925409E-05	k143_2
